name,age,position,nfl_rushingYDS,nfl_rushingTDS,nfl_games,nfl_recs,nfl_recYDS,nfl_recTDS
Kene Nwangwu,23,RB,61.0,0.0,11.0,4.0,9.0,0.0
Rhamondre Stevenson,23,RB,606.0,5.0,12.0,14.0,123.0,0.0
Chuba Hubbard,22,RB,612.0,5.0,17.0,25.0,174.0,1.0
Kenneth Gainwell,22,RB,291.0,5.0,16.0,33.0,253.0,1.0
Elijah Mitchell,23,RB,963.0,5.0,11.0,19.0,137.0,1.0
Gary Brightwell,22,RB,4.0,0.0,13.0,1.0,6.0,0.0
Larry Rountree,22,RB,87.0,1.0,12.0,1.0,-1.0,0.0
Chris Evans,23,RB,77.0,0.0,14.0,15.0,151.0,2.0
Demetric Felton,23,RB,,,,,,
Khalil Herbert,23,RB,433.0,2.0,17.0,14.0,96.0,0.0
Jake Funk,23,RB,5.0,0.0,10.0,0.0,0.0,0.0
Gerrid Doaks,23,RB,,,,,,
Kylin Hill,23,RB,24.0,0.0,8.0,1.0,5.0,0.0
Jermar Jefferson,21,RB,74.0,2.0,7.0,4.0,23.0,0.0
Breece Hall,21,RB,463.0,4.0,7.0,19.0,218.0,1.0
Kenneth Walker III,21,RB,1050.0,9.0,15.0,27.0,165.0,0.0
James Cook,22,RB,507.0,2.0,16.0,21.0,180.0,1.0
Rachaad White,23,RB,481.0,1.0,17.0,50.0,290.0,2.0
Tyrion Davis-Price,21,RB,99.0,0.0,6.0,0.0,0.0,0.0
Brian Robinson Jr.,23,RB,797.0,2.0,12.0,9.0,60.0,1.0
Dameon Pierce,22,RB,939.0,4.0,13.0,30.0,165.0,1.0
Zamir White,22,RB,70.0,0.0,14.0,0.0,0.0,0.0
Isaiah Spiller,21,RB,41.0,0.0,6.0,3.0,13.0,0.0
Pierre Strong,23,RB,100.0,1.0,15.0,7.0,42.0,0.0
Hassan Haskins,22,RB,93.0,0.0,15.0,11.0,57.0,0.0
Tyler Allgeier,22,RB,1035.0,3.0,16.0,16.0,139.0,1.0
Snoop Conner,22,RB,42.0,1.0,8.0,0.0,0.0,0.0
Jerome Ford,22,RB,12.0,0.0,13.0,0.0,0.0,0.0
Kyren Williams,22,RB,139.0,0.0,10.0,9.0,76.0,0.0
Ty Chandler,24,RB,20.0,0.0,3.0,0.0,0.0,0.0
Kevin Harris,21,RB,52.0,1.0,5.0,0.0,0.0,0.0
Tyler Badie,22,RB,0.0,0.0,1.0,1.0,24.0,1.0
Keaontay Ingram,22,RB,60.0,1.0,12.0,4.0,21.0,0.0
Trestan Ebner,23,RB,54.0,0.0,17.0,2.0,8.0,0.0
Brittain Brown,24,RB,,,,,,
Isiah Pacheco,23,RB,830.0,5.0,17.0,13.0,130.0,0.0
Zander Horvath,23,RB,,,,,,
Bijan Robinson,21,RB,976.0,4.0,17.0,58.0,487.0,4.0
Jahmyr Gibbs,21,RB,945.0,10.0,15.0,52.0,316.0,1.0
Zach Charbonnet,22,RB,462.0,1.0,16.0,33.0,209.0,0.0
Kendre Miller,21,RB,156.0,1.0,8.0,10.0,117.0,0.0
Tyjae Spears,22,RB,453.0,2.0,17.0,52.0,385.0,1.0
De'Von Achane,21,RB,800.0,8.0,11.0,27.0,197.0,3.0
Tank Bigsby,22,RB,132.0,2.0,17.0,1.0,6.0,0.0
Roschon Johnson,22,RB,352.0,2.0,15.0,34.0,209.0,0.0
Israel Abanikanda,20,RB,70.0,0.0,6.0,7.0,43.0,0.0
Chase Brown,23,RB,179.0,0.0,12.0,14.0,156.0,1.0
Eric Gray,23,RB,48.0,0.0,13.0,6.0,22.0,0.0
Evan Hull,22,RB,,,,,,
Chris Rodriguez,22,RB,247.0,2.0,13.0,2.0,12.0,0.0
Deuce Vaughn,21,RB,40.0,0.0,7.0,7.0,40.0,0.0
Zach Evans,22,RB,19.0,0.0,10.0,0.0,0.0,0.0
DeWayne McBride,22,RB,,,,,,
Lew Nichols,22,RB,,,,,,
Kenny McIntosh,23,RB,0.0,0.0,3.0,0.0,0.0,0.0
Jonathon Brooks,21,RB,22.0,0.0,3.0,3.0,23.0,0.0
Trey Benson,21,RB,291.0,1.0,13.0,6.0,59.0,0.0
Blake Corum,23,RB,207.0,0.0,17.0,7.0,58.0,0.0
MarShawn Lloyd,23,RB,15.0,0.0,1.0,1.0,3.0,0.0
Jaylen Wright,21,RB,249.0,0.0,15.0,3.0,8.0,0.0
Bucky Irving,22,RB,1122.0,8.0,17.0,47.0,392.0,0.0
Will Shipley,22,RB,82.0,0.0,16.0,4.0,35.0,0.0
Ray Davis,24,RB,442.0,3.0,17.0,17.0,189.0,3.0
Isaac Guerendo,24,RB,420.0,4.0,16.0,15.0,152.0,0.0
Braelon Allen,20,RB,334.0,2.0,17.0,19.0,148.0,1.0
Audric Estime,21,RB,310.0,2.0,13.0,5.0,27.0,0.0
Rasheen Ali,23,RB,31.0,0.0,6.0,0.0,0.0,0.0
Tyrone Tracy Jr.,24,RB,839.0,5.0,17.0,38.0,284.0,1.0
Keilan Robinson,24,RB,,,,,,
Isaiah Davis,22,RB,174.0,1.0,17.0,9.0,75.0,1.0
Kimani Vidal,23,RB,155.0,0.0,10.0,5.0,62.0,1.0
Jase McClellan,22,RB,32.0,0.0,2.0,0.0,0.0,0.0
Jawhar Jordan,25,RB,,,,,,
Dylan Laube,24,RB,0.0,0.0,10.0,0.0,0.0,0.0
