name,age,position,school,draft_pick,season,games,rushATT,rushYDS,rushTDS,recs,recYDS,recTDS
Jordan Wilkins,24,RB,Mississippi,169,2017,12,155,1011,9,26,241,1
John Kelly,21,RB,Tennessee,176,2015*,10,40,165,1,0,0,0
John Kelly,21,RB,Tennessee,176,2016*,12,98,630,5,6,51,0
John Kelly,21,RB,Tennessee,176,2017,11,189,778,9,37,299,0
Boston Scott,23,RB,Louisiana Tech,201,2013,1,0,0,0,0,0,0
Boston Scott,23,RB,Louisiana Tech,201,2014*,1,1,3,0,0,0,0
Boston Scott,23,RB,Louisiana Tech,201,2015*,11,34,275,0,1,1,0
Boston Scott,23,RB,Louisiana Tech,201,2016*,14,70,515,6,11,125,0
Boston Scott,23,RB,Louisiana Tech,201,2017*,13,182,1040,8,20,181,1
Trenton Cannon,24,RB,Virginia St.,204,2014,10,36,-125,0,0,0,0
Trenton Cannon,24,RB,Virginia St.,204,2015,9,23,-162,0,0,0,0
Trenton Cannon,24,RB,Virginia St.,204,2017,12,30,-97,2,0,0,0
David Williams,24,RB,Arkansas,226,2014*,13,45,256,2,7,99,0
David Williams,24,RB,Arkansas,226,2015,12,86,299,0,11,93,0
David Williams,24,RB,Arkansas,226,2016*,13,56,239,3,9,72,0
David Williams,24,RB,Arkansas,226,2017,12,117,656,8,10,171,2
Bo Scarbrough,23,RB,Alabama,236,2015*,7,18,104,1,0,0,0
Bo Scarbrough,23,RB,Alabama,236,2016*,13,125,812,11,4,22,0
Bo Scarbrough,23,RB,Alabama,236,2017*,14,124,596,8,17,109,0
Nick Bawden,22,RB,San Diego St.,237,2014*,6,11,43,0,0,0,0
Nick Bawden,22,RB,San Diego St.,237,2015*,9,0,0,0,0,0,0
Nick Bawden,22,RB,San Diego St.,237,2016*,13,1,4,0,15,137,0
Nick Bawden,22,RB,San Diego St.,237,2017*,12,0,0,0,15,103,1
Justin Jackson,22,RB,Northwestern,251,2014,12,245,1187,10,22,201,1
Justin Jackson,22,RB,Northwestern,251,2015*,13,312,1418,5,21,162,0
Justin Jackson,22,RB,Northwestern,251,2016*,13,298,1524,15,35,219,0
Justin Jackson,22,RB,Northwestern,251,2017*,13,287,1311,11,44,276,0
Josh Jacobs,21,RB,Alabama,24,2016*,15,85,567,4,14,156,0
Josh Jacobs,21,RB,Alabama,24,2017*,12,46,284,1,14,168,2
Josh Jacobs,21,RB,Alabama,24,2018*,15,120,640,11,20,247,3
Miles Sanders,22,RB,Penn St.,53,2016*,13,25,184,1,2,24,1
Miles Sanders,22,RB,Penn St.,53,2017*,12,31,191,2,6,30,0
Miles Sanders,22,RB,Penn St.,53,2018*,13,220,1274,9,24,139,0
Darrell Henderson,22,RB,Memphis,70,2016*,13,87,482,5,20,237,3
Darrell Henderson,22,RB,Memphis,70,2017*,12,130,1154,9,24,226,2
Darrell Henderson,22,RB,Memphis,70,2018*,13,214,1909,22,19,295,3
David Montgomery,22,RB,Iowa St.,73,2016,12,109,563,2,13,129,0
David Montgomery,22,RB,Iowa St.,73,2017*,13,258,1146,11,36,296,0
David Montgomery,22,RB,Iowa St.,73,2018*,12,257,1216,13,22,157,0
Devin Singletary,22,RB,Florida Atlantic,74,2016,12,152,1021,12,26,163,0
Devin Singletary,22,RB,Florida Atlantic,74,2017*,14,301,1920,32,19,198,1
