name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS
Malcolm Mitchell,24,WR,Georgia,112,2011*,14,32,401,4,4,38,0
Malcolm Mitchell,24,WR,Georgia,112,2012*,14,32,401,4,5,17,0
Malcolm Mitchell,24,WR,Georgia,112,2014*,14,32,401,4,0,0,0
Malcolm Mitchell,24,WR,Georgia,112,2015*,14,32,401,4,0,0,0
Ricardo Louis,22,WR,Auburn,114,2012,16,18,205,0,2,2,0
Ricardo Louis,22,WR,Auburn,114,2013*,16,18,205,0,19,198,0
Ricardo Louis,22,WR,Auburn,114,2014*,16,18,205,0,18,220,1
Ricardo Louis,22,WR,Auburn,114,2015*,16,18,205,0,29,158,1
Pharoh Cooper,21,WR,South Carolina,117,2013*,10,14,106,0,20,202,1
Pharoh Cooper,21,WR,South Carolina,117,2014*,10,14,106,0,27,200,2
Pharoh Cooper,21,WR,South Carolina,117,2015,10,14,106,0,24,111,1
Demarcus Robinson,21,WR,Florida,126,2013,16,0,0,0,0,0,0
Demarcus Robinson,21,WR,Florida,126,2014*,16,0,0,0,1,3,0
Demarcus Robinson,21,WR,Florida,126,2015*,16,0,0,0,1,1,0
Tajae Sharpe,21,WR,Massachusetts,140,2012,16,41,522,2,0,0,0
Tajae Sharpe,21,WR,Massachusetts,140,2013,16,41,522,2,0,0,0
Tajae Sharpe,21,WR,Massachusetts,140,2014,16,41,522,2,3,14,0
Tajae Sharpe,21,WR,Massachusetts,140,2015,16,41,522,2,1,-3,0
Jordan Payton,23,WR,UCLA,154,2012*,4,1,3,0,0,0,0
Jordan Payton,23,WR,UCLA,154,2013*,4,1,3,0,0,0,0
Jordan Payton,23,WR,UCLA,154,2014*,4,1,3,0,0,0,0
Jordan Payton,23,WR,UCLA,154,2015*,4,1,3,0,0,0,0
Trevor Davis,23,WR,California,163,2011,11,3,24,1,0,0,0
Trevor Davis,23,WR,California,163,2012,11,3,24,1,1,-1,0
Trevor Davis,23,WR,California,163,2014,11,3,24,1,0,0,0
Trevor Davis,23,WR,California,163,2015*,11,3,24,1,3,4,0
Rashard Higgins,21,WR,Colorado St.,172,2013*,16,6,77,0,0,0,0
Rashard Higgins,21,WR,Colorado St.,172,2014*,16,6,77,0,0,0,0
Rashard Higgins,21,WR,Colorado St.,172,2015*,16,6,77,0,1,20,0
Jakeem Grant,23,WR,Texas Tech,186,2012*,16,0,0,0,8,19,0
Jakeem Grant,23,WR,Texas Tech,186,2013*,16,0,0,0,12,77,0
Jakeem Grant,23,WR,Texas Tech,186,2014,16,0,0,0,5,35,0
Jakeem Grant,23,WR,Texas Tech,186,2015*,16,0,0,0,8,68,2
Kolby Listenbee,22,WR,TCU,192,2012*,9,1,59,0,0,0,0
Kolby Listenbee,22,WR,TCU,192,2013,2,2,23,0,0,0,0
Kolby Listenbee,22,WR,TCU,192,2014*,13,41,753,4,2,19,0
Kolby Listenbee,22,WR,TCU,192,2015*,11,30,597,5,1,11,0
Cody Core,22,WR,Mississippi,199,2012*,8,17,200,0,0,0,0
Cody Core,22,WR,Mississippi,199,2013*,8,17,200,0,0,0,0
Cody Core,22,WR,Mississippi,199,2014*,8,17,200,0,4,86,0
Cody Core,22,WR,Mississippi,199,2015*,8,17,200,0,1,1,0
Mike Thomas,22,WR,Southern Miss,206,2014,15,3,37,0,0,0,0
Mike Thomas,22,WR,Southern Miss,206,2015*,15,3,37,0,0,0,0
Aaron Burbridge,22,WR,Michigan St.,213,2012*,16,7,88,0,1,4,0
Aaron Burbridge,22,WR,Michigan St.,213,2013*,16,7,88,0,4,62,0
Aaron Burbridge,22,WR,Michigan St.,213,2014*,16,7,88,0,8,39,0
Aaron Burbridge,22,WR,Michigan St.,213,2015*,16,7,88,0,9,44,0
Devin Lucien,23,WR,Arizona St.,225,2012*,7,10,188,0,0,0,0
Devin Lucien,23,WR,Arizona St.,225,2013*,11,19,339,2,1,3,0
Devin Lucien,23,WR,Arizona St.,225,2014*,13,29,225,2,1,34,0
Devin Lucien,23,WR,Arizona St.,225,2015*,13,66,1075,8,0,0,0
Demarcus Ayers,22,WR,Houston,229,2013*,2,6,53,1,0,0,0
Demarcus Ayers,22,WR,Houston,229,2014*,2,6,53,1,2,4,0
Demarcus Ayers,22,WR,Houston,229,2015*,2,6,53,1,25,147,1
Daniel Braverman,22,WR,Western Michigan,230,2012,3,0,0,0,4,5,1
Daniel Braverman,22,WR,Western Michigan,230,2014*,3,0,0,0,6,58,1
Daniel Braverman,22,WR,Western Michigan,230,2015*,3,0,0,0,2,13,0
Devin Fuller,22,WR,UCLA,238,2012*,9,20,145,2,1,0,0
Devin Fuller,22,WR,UCLA,238,2013*,12,43,471,4,4,8,1
Devin Fuller,22,WR,UCLA,238,2014*,13,59,447,1,1,-2,0
Devin Fuller,22,WR,UCLA,238,2015*,11,24,259,3,0,0,0
Charone Peake,23,WR,Clemson,241,2011*,15,19,186,0,1,-13,0
Charone Peake,23,WR,Clemson,241,2012*,15,19,186,0,1,4,0
Charone Peake,23,WR,Clemson,241,2013*,15,19,186,0,0,0,0
Charone Peake,23,WR,Clemson,241,2014*,15,19,186,0,0,0,0
Charone Peake,23,WR,Clemson,241,2015*,15,19,186,0,0,0,0
Kenny Lawler,22,WR,California,243,2013,11,37,347,5,0,0,0
Kenny Lawler,22,WR,California,243,2014,11,54,701,9,0,0,0
Kenny Lawler,22,WR,California,243,2015*,13,52,658,13,1,5,0
Corey Davis,22,WR,Western Michigan,5,2013,11,34,375,0,1,2,0
Corey Davis,22,WR,Western Michigan,5,2014*,11,34,375,0,0,0,0
Corey Davis,22,WR,Western Michigan,5,2015*,11,34,375,0,1,11,0
Corey Davis,22,WR,Western Michigan,5,2016*,11,34,375,0,1,0,0
Mike Williams,22,WR,Clemson,7,2013*,10,11,95,0,0,0,0
Mike Williams,22,WR,Clemson,7,2014*,10,11,95,0,0,0,0
Mike Williams,22,WR,Clemson,7,2015*,10,11,95,0,0,0,0
Mike Williams,22,WR,Clemson,7,2016*,10,11,95,0,0,0,0
John Ross,21,WR,Washington,9,2013*,3,0,0,0,6,39,0
John Ross,21,WR,Washington,9,2014*,3,0,0,0,6,54,1
John Ross,21,WR,Washington,9,2016*,3,0,0,0,8,102,1
Zay Jones,22,WR,East Carolina,37,2013*,15,27,316,2,0,0,0
Zay Jones,22,WR,East Carolina,37,2014*,15,27,316,2,0,0,0
Zay Jones,22,WR,East Carolina,37,2015,15,27,316,2,1,-6,0
Zay Jones,22,WR,East Carolina,37,2016,15,27,316,2,4,24,0
JuJu Smith-Schuster,20,WR,USC,62,2014*,14,58,917,7,2,3,0
JuJu Smith-Schuster,20,WR,USC,62,2015*,14,58,917,7,1,4,0
JuJu Smith-Schuster,20,WR,USC,62,2016*,14,58,917,7,5,27,0
Taywan Taylor,22,WR,Western Kentucky,72,2013,16,16,231,1,0,0,0
Taywan Taylor,22,WR,Western Kentucky,72,2014*,16,16,231,1,1,11,0
Taywan Taylor,22,WR,Western Kentucky,72,2015*,16,16,231,1,7,-9,0
Taywan Taylor,22,WR,Western Kentucky,72,2016*,16,16,231,1,6,36,0
ArDarius Stewart,23,WR,Alabama,79,2014*,13,12,149,0,0,0,0
ArDarius Stewart,23,WR,Alabama,79,2015*,15,63,700,4,5,14,0
ArDarius Stewart,23,WR,Alabama,79,2016*,12,54,864,8,8,68,0
Carlos Henderson,22,WR,Louisiana Tech,82,2014*,12,29,569,4,13,72,1
Carlos Henderson,22,WR,Louisiana Tech,82,2015*,11,36,774,5,5,54,0
Carlos Henderson,22,WR,Louisiana Tech,82,2016*,13,82,1535,19,14,133,2
Chris Godwin,21,WR,Penn St.,84,2014*,16,34,525,1,2,1,0
Chris Godwin,21,WR,Penn St.,84,2015*,16,34,525,1,0,0,0
Chris Godwin,21,WR,Penn St.,84,2016*,16,34,525,1,1,13,0
Kenny Golladay,23,WR,Northern Illinois,96,2015*,11,28,477,3,9,14,1
Kenny Golladay,23,WR,Northern Illinois,96,2016,11,28,477,3,20,192,2
Amara Darboh,23,WR,Michigan,106,2012*,16,8,71,0,0,0,0
Amara Darboh,23,WR,Michigan,106,2014,16,8,71,0,0,0,0
Amara Darboh,23,WR,Michigan,106,2015*,16,8,71,0,2,2,0
Amara Darboh,23,WR,Michigan,106,2016*,16,8,71,0,0,0,0
Dede Westbrook,23,WR,Oklahoma,110,2015*,7,27,339,1,5,17,0
Dede Westbrook,23,WR,Oklahoma,110,2016*,7,27,339,1,10,101,0
Josh Reynolds,22,WR,Texas A&M,117,2014*,16,11,104,1,0,0,0
Josh Reynolds,22,WR,Texas A&M,117,2015*,16,11,104,1,0,0,0
Josh Reynolds,22,WR,Texas A&M,117,2016*,16,11,104,1,0,0,0
Mack Hollins,23,WR,North Carolina,118,2013*,16,16,226,1,0,0,0
Mack Hollins,23,WR,North Carolina,118,2014*,16,16,226,1,0,0,0
Mack Hollins,23,WR,North Carolina,118,2015*,16,16,226,1,0,0,0
Mack Hollins,23,WR,North Carolina,118,2016*,16,16,226,1,0,0,0
Josh Malone,21,WR,Tennessee,128,2014*,11,6,63,1,2,11,0
Josh Malone,21,WR,Tennessee,128,2015*,11,6,63,1,0,0,0
Josh Malone,21,WR,Tennessee,128,2016*,11,6,63,1,0,0,0
Ryan Switzer,22,WR,North Carolina,133,2013*,16,6,41,0,10,29,0
Ryan Switzer,22,WR,North Carolina,133,2014*,16,6,41,0,8,29,0
Ryan Switzer,22,WR,North Carolina,133,2015*,16,6,41,0,3,6,0
Ryan Switzer,22,WR,North Carolina,133,2016*,16,6,41,0,3,14,0
Jehu Chesson,23,WR,Michigan,139,2013*,12,2,18,0,2,1,0
Jehu Chesson,23,WR,Michigan,139,2014,12,2,18,0,0,0,0
Jehu Chesson,23,WR,Michigan,139,2015*,12,2,18,0,8,155,2
Jehu Chesson,23,WR,Michigan,139,2016*,12,2,18,0,12,63,1
Chad Hansen,22,WR,California,141,2015*,15,9,94,0,0,0,0
Chad Hansen,22,WR,California,141,2016,15,9,94,0,0,0,0
Shelton Gibson,23,WR,West Virginia,166,2014*,5,2,11,0,0,0,0
Shelton Gibson,23,WR,West Virginia,166,2015*,5,2,11,0,0,0,0
Shelton Gibson,23,WR,West Virginia,166,2016*,5,2,11,0,2,29,0
Rodney Adams,22,WR,South Florida,170,2013,3,2,15,0,1,5,0
Rodney Adams,22,WR,South Florida,170,2014,10,23,323,2,5,52,1
Rodney Adams,22,WR,South Florida,170,2015*,13,45,822,9,10,81,1
Rodney Adams,22,WR,South Florida,170,2016*,13,67,822,5,23,231,5
Isaiah McKenzie,22,WR,Georgia,172,2014*,11,4,29,0,7,78,0
Isaiah McKenzie,22,WR,Georgia,172,2015*,11,4,29,0,11,117,2
Isaiah McKenzie,22,WR,Georgia,172,2016*,11,4,29,0,19,134,2
DeAngelo Yancey,22,WR,Purdue,175,2013,8,32,546,2,0,0,0
DeAngelo Yancey,22,WR,Purdue,175,2014,12,12,147,3,0,0,0
DeAngelo Yancey,22,WR,Purdue,175,2015,12,48,700,5,0,0,0
DeAngelo Yancey,22,WR,Purdue,175,2016,12,49,951,10,0,0,0
Trent Taylor,23,WR,Louisiana Tech,177,2013,15,43,430,2,0,0,0
Trent Taylor,23,WR,Louisiana Tech,177,2014*,15,43,430,2,0,0,0
Trent Taylor,23,WR,Louisiana Tech,177,2015*,15,43,430,2,0,0,0
Trent Taylor,23,WR,Louisiana Tech,177,2016*,15,43,430,2,0,0,0
Robert Davis,22,WR,Georgia St.,209,2013,1,0,0,0,0,0,0
Robert Davis,22,WR,Georgia St.,209,2014,1,0,0,0,1,3,0
Robert Davis,22,WR,Georgia St.,209,2015*,1,0,0,0,0,0,0
Robert Davis,22,WR,Georgia St.,209,2016,1,0,0,0,0,0,0
Stacy Coley,23,WR,Miami (FL),219,2013*,3,0,0,0,2,80,1
Stacy Coley,23,WR,Miami (FL),219,2014*,3,0,0,0,5,30,0
Stacy Coley,23,WR,Miami (FL),219,2015*,3,0,0,0,1,15,0
Stacy Coley,23,WR,Miami (FL),219,2016*,3,0,0,0,0,0,0
Isaiah Ford,21,WR,Virginia Tech,237,2014*,1,0,0,0,4,0,0
Isaiah Ford,21,WR,Virginia Tech,237,2015*,1,0,0,0,7,51,0
Isaiah Ford,21,WR,Virginia Tech,237,2016*,1,0,0,0,6,33,0
Noah Brown,21,WR,Ohio St.,239,2014*,13,4,33,0,1,-4,0
Noah Brown,21,WR,Ohio St.,239,2016*,13,4,33,0,0,0,0
Malachi Dupre,21,WR,LSU,247,2014*,12,14,318,5,0,0,0
Malachi Dupre,21,WR,LSU,247,2015*,12,43,698,6,0,0,0
Malachi Dupre,21,WR,LSU,247,2016*,12,41,593,3,0,0,0
D.J. Moore,21,WR,Maryland,24,2015,16,55,788,2,1,9,0
D.J. Moore,21,WR,Maryland,24,2016*,16,55,788,2,11,55,0
D.J. Moore,21,WR,Maryland,24,2017,16,55,788,2,5,61,1
Calvin Ridley,23,WR,Alabama,26,2015*,16,64,821,10,1,2,0
Calvin Ridley,23,WR,Alabama,26,2016*,16,64,821,10,5,21,1
Calvin Ridley,23,WR,Alabama,26,2017*,16,64,821,10,2,17,0
