name,age,position,school,draft_pick,season,games,pass_cmp,pass_att,cmp%,yds,TDs,TD%,Int,Int%,Rating,Rush Attempts,Rush Yards,Rush TDs,passCMP,passingYDS,passingTDS,passingINT,rushingYDS,rushingTDS
Cardale Jones,23,QB,Ohio St.,139,2014,1,49,79,79.0,746,5,6.3,2,2.5,157.2,60,212,1.0,54.5,96.0,0.0,1.0,-1.0,0.0
Cardale Jones,23,QB,Ohio St.,139,2015,1,110,176,176.0,1460,8,4.5,5,2.8,141.5,64,193,2.0,54.5,96.0,0.0,1.0,-1.0,0.0
Kevin Hogan,23,QB,Stanford,162,2012,4,109,152,152.0,1096,9,5.9,3,2.0,147.9,55,263,2.0,53.8,104.0,0.0,2.0,105.0,1.0
Kevin Hogan,23,QB,Stanford,162,2013,4,180,295,295.0,2630,20,6.8,10,3.4,151.5,84,355,2.0,53.8,104.0,0.0,2.0,105.0,1.0
Kevin Hogan,23,QB,Stanford,162,2014,4,232,352,352.0,2792,19,5.4,8,2.3,145.8,91,295,5.0,53.8,104.0,0.0,2.0,105.0,1.0
Kevin Hogan,23,QB,Stanford,162,2015,4,206,304,304.0,2867,27,8.9,8,2.6,171.0,85,336,6.0,53.8,104.0,0.0,2.0,105.0,1.0
Nate Sudfeld,22,QB,Indiana,187,2012,1,51,82,82.0,632,7,8.5,1,1.2,152.7,15,7,0.0,82.6,134.0,0.0,0.0,22.0,0.0
Nate Sudfeld,22,QB,Indiana,187,2013,1,194,322,322.0,2523,21,6.5,9,2.8,142.0,38,-34,1.0,82.6,134.0,0.0,0.0,22.0,0.0
Nate Sudfeld,22,QB,Indiana,187,2014,1,101,167,167.0,1151,6,3.6,3,1.8,126.6,36,98,2.0,82.6,134.0,0.0,0.0,22.0,0.0
Nate Sudfeld,22,QB,Indiana,187,2015,1,247,412,412.0,3573,27,6.6,7,1.7,151.0,46,61,5.0,82.6,134.0,0.0,0.0,22.0,0.0
