name,age,position,school,draft_pick,season,games,pass_cmp,pass_att,cmp%,yds,TDs,TD%,Int,Int%,Rating,Rush Attempts,Rush Yards,Rush TDs,passCMP,passingYDS,passingTDS,passingINT,rushingYDS,rushingTDS
J.J. McCarthy,21,QB,Michigan,10,2023,15,240,332,332.0,2991,22,6.6,4,1.2,167.4,64,202,3.0,,,,,,
Bo Nix,24,QB,Oregon,12,2019,17,217,377,377.0,2542,16,4.2,6,1.6,125.0,97,313,7.0,66.3,3775.0,29.0,12.0,430.0,4.0
Bo Nix,24,QB,Oregon,12,2020,17,214,357,357.0,2415,12,3.4,7,2.0,123.9,108,388,7.0,66.3,3775.0,29.0,12.0,430.0,4.0
Bo Nix,24,QB,Oregon,12,2021,17,197,323,323.0,2293,11,3.4,3,0.9,130.0,57,168,4.0,66.3,3775.0,29.0,12.0,430.0,4.0
Bo Nix,24,QB,Oregon,12,2022,17,294,409,409.0,3593,29,7.1,7,1.7,165.7,89,510,14.0,66.3,3775.0,29.0,12.0,430.0,4.0
Bo Nix,24,QB,Oregon,12,2023,17,364,470,470.0,4508,45,9.6,3,0.6,188.3,54,234,6.0,66.3,3775.0,29.0,12.0,430.0,4.0
Spencer Rattler,23,QB,South Carolina,150,2019,7,7,11,11.0,81,1,9.1,0,0.0,155.5,3,23,0.0,57.0,1317.0,4.0,5.0,146.0,0.0
Spencer Rattler,23,QB,South Carolina,150,2020,7,214,317,317.0,3031,28,8.8,7,2.2,172.6,81,160,6.0,57.0,1317.0,4.0,5.0,146.0,0.0
Spencer Rattler,23,QB,South Carolina,150,2021,7,140,187,187.0,1483,11,5.9,5,2.7,155.5,43,77,3.0,57.0,1317.0,4.0,5.0,146.0,0.0
Spencer Rattler,23,QB,South Carolina,150,2022,7,264,399,399.0,3026,18,4.5,12,3.0,138.7,73,46,3.0,57.0,1317.0,4.0,5.0,146.0,0.0
Spencer Rattler,23,QB,South Carolina,150,2023,7,275,399,399.0,3186,19,4.8,8,2.0,147.7,97,104,4.0,57.0,1317.0,4.0,5.0,146.0,0.0
Jordan Travis,24,QB,Florida St.,171,2018,3,4,14,14.0,71,1,7.1,1,7.1,80.5,8,40,0.0,,,,,,
Jordan Travis,24,QB,Florida St.,171,2019,4,6,11,11.0,79,0,0.0,0,0.0,114.9,23,228,3.0,,,,,,
Jordan Travis,24,QB,Florida St.,171,2020,8,72,131,131.0,1056,6,4.6,6,4.6,128.6,97,559,7.0,,,,,,
Jordan Travis,24,QB,Florida St.,171,2021,10,122,194,194.0,1539,15,7.7,6,3.1,148.9,134,530,7.0,,,,,,
Jordan Travis,24,QB,Florida St.,171,2022,13,226,353,353.0,3214,24,6.8,5,1.4,160.1,82,417,7.0,,,,,,
Jordan Travis,24,QB,Florida St.,171,2023,11,207,324,324.0,2756,20,6.2,2,0.6,154.5,73,176,7.0,,,,,,
Joe Milton,24,QB,Tennessee,193,2018,1,3,4,4.0,58,0,0.0,1,25.0,146.8,7,31,1.0,75.9,241.0,1.0,0.0,16.0,1.0
Joe Milton,24,QB,Tennessee,193,2019,1,3,7,7.0,59,1,14.3,1,14.3,132.2,5,16,1.0,75.9,241.0,1.0,0.0,16.0,1.0
Joe Milton,24,QB,Tennessee,193,2020,1,80,141,141.0,1077,4,2.8,4,2.8,124.6,38,109,1.0,75.9,241.0,1.0,0.0,16.0,1.0
Joe Milton,24,QB,Tennessee,193,2021,1,32,61,61.0,375,2,3.3,0,0.0,114.9,28,129,2.0,75.9,241.0,1.0,0.0,16.0,1.0
Joe Milton,24,QB,Tennessee,193,2022,1,53,82,82.0,971,10,12.2,0,0.0,204.3,18,77,0.0,75.9,241.0,1.0,0.0,16.0,1.0
Joe Milton,24,QB,Tennessee,193,2023,1,229,354,354.0,2813,20,5.6,5,1.4,147.3,78,299,7.0,75.9,241.0,1.0,0.0,16.0,1.0
Devin Leary,24,QB,Kentucky,218,2019,8,101,210,210.0,1219,8,3.8,5,2.4,104.7,40,46,0.0,,,,,,
Devin Leary,24,QB,Kentucky,218,2020,4,66,110,110.0,890,8,7.3,2,1.8,148.3,19,7,0.0,,,,,,
Devin Leary,24,QB,Kentucky,218,2021,12,283,431,431.0,3433,35,8.1,5,1.2,157.0,54,-75,2.0,,,,,,
Devin Leary,24,QB,Kentucky,218,2022,6,118,193,193.0,1265,11,5.7,4,2.1,130.9,23,1,3.0,,,,,,
Devin Leary,24,QB,Kentucky,218,2023,13,209,371,371.0,2746,25,6.7,12,3.2,134.3,42,-60,1.0,,,,,,
Michael Pratt,22,QB,Tulane,245,2020,10,140,254,254.0,1806,20,7.9,8,3.1,134.5,115,229,8.0,,,,,,
Michael Pratt,22,QB,Tulane,245,2021,12,189,328,328.0,2381,21,6.4,8,2.4,134.8,105,152,5.0,,,,,,
Michael Pratt,22,QB,Tulane,245,2022,13,215,338,338.0,3009,27,8.0,5,1.5,161.8,129,478,10.0,,,,,,
Michael Pratt,22,QB,Tulane,245,2023,11,185,283,283.0,2406,22,7.8,5,1.8,158.9,98,286,5.0,,,,,,
