name,age,position,school,draft_pick,season,games,rushATT,rushYDS,rushTDS,recs,recYDS,recTDS,rushingYDS,rushingTDS
Ezekiel Elliott,21,RB,Ohio St.,4,2015*,15,289,1821,23,32,363,1,1631.0,15.0
Derrick Henry,22,RB,Alabama,45,2013*,15,35,382,3,13,137,0,490.0,5.0
Derrick Henry,22,RB,Alabama,45,2014*,15,172,990,11,13,137,0,490.0,5.0
Derrick Henry,22,RB,Alabama,45,2015*,15,395,2219,28,13,137,0,490.0,5.0
Kenyan Drake,22,RB,Alabama,73,2012*,16,42,281,5,9,46,0,179.0,2.0
Kenyan Drake,22,RB,Alabama,73,2013*,16,92,694,8,9,46,0,179.0,2.0
Kenyan Drake,22,RB,Alabama,73,2014*,16,22,112,4,9,46,0,179.0,2.0
Kenyan Drake,22,RB,Alabama,73,2015*,16,77,408,1,9,46,0,179.0,2.0
C.J. Prosise,22,RB,Notre Dame,90,2013*,6,0,0,0,17,208,0,172.0,1.0
C.J. Prosise,22,RB,Notre Dame,90,2014*,6,10,126,1,17,208,0,172.0,1.0
C.J. Prosise,22,RB,Notre Dame,90,2015*,6,156,1032,11,17,208,0,172.0,1.0
Tyler Ervin,22,RB,San Jose St.,119,2011,12,29,107,1,3,17,0,,
Tyler Ervin,22,RB,San Jose St.,119,2012*,9,45,205,1,10,126,1,,
Tyler Ervin,22,RB,San Jose St.,119,2013,1,2,2,0,0,0,0,,
Tyler Ervin,22,RB,San Jose St.,119,2014,12,158,888,4,29,306,1,,
Tyler Ervin,22,RB,San Jose St.,119,2015*,13,294,1601,13,45,334,2,,
Kenneth Dixon,22,RB,Louisiana Tech,134,2012,12,200,1194,27,30,162,1,382.0,2.0
Kenneth Dixon,22,RB,Louisiana Tech,134,2013,12,151,917,4,30,162,1,382.0,2.0
Kenneth Dixon,22,RB,Louisiana Tech,134,2014*,12,253,1299,22,30,162,1,382.0,2.0
Kenneth Dixon,22,RB,Louisiana Tech,134,2015*,12,197,1070,19,30,162,1,382.0,2.0
Devontae Booker,24,RB,Utah,136,2014*,16,292,1512,10,31,265,1,612.0,4.0
Devontae Booker,24,RB,Utah,136,2015*,16,268,1261,11,31,265,1,612.0,4.0
DeAndre Washington,23,RB,Texas Tech,143,2011,14,77,366,3,17,115,0,467.0,2.0
DeAndre Washington,23,RB,Texas Tech,143,2013*,14,107,450,4,17,115,0,467.0,2.0
DeAndre Washington,23,RB,Texas Tech,143,2014,14,188,1103,2,17,115,0,467.0,2.0
DeAndre Washington,23,RB,Texas Tech,143,2015*,14,233,1492,14,17,115,0,467.0,2.0
Paul Perkins,21,RB,UCLA,149,2013*,14,134,573,6,15,162,0,456.0,0.0
Paul Perkins,21,RB,UCLA,149,2014*,14,251,1575,9,15,162,0,456.0,0.0
Paul Perkins,21,RB,UCLA,149,2015*,14,237,1343,14,15,162,0,456.0,0.0
Jordan Howard,21,RB,Indiana,150,2013,15,145,881,2,29,298,1,1313.0,6.0
Jordan Howard,21,RB,Indiana,150,2014,15,306,1587,13,29,298,1,1313.0,6.0
Jordan Howard,21,RB,Indiana,150,2015*,15,196,1213,9,29,298,1,1313.0,6.0
Wendell Smallwood,22,RB,West Virginia,153,2013,13,39,221,1,6,55,0,312.0,1.0
Wendell Smallwood,22,RB,West Virginia,153,2014*,13,148,722,2,6,55,0,312.0,1.0
Wendell Smallwood,22,RB,West Virginia,153,2015*,13,238,1519,9,6,55,0,312.0,1.0
Jonathan Williams,22,RB,Arkansas,156,2012,11,45,231,0,1,0,0,94.0,1.0
Jonathan Williams,22,RB,Arkansas,156,2013,11,150,900,4,1,0,0,94.0,1.0
Jonathan Williams,22,RB,Arkansas,156,2014*,11,211,1190,12,1,0,0,94.0,1.0
Jonathan Williams,22,RB,Arkansas,156,2015*,11,0,0,0,1,0,0,94.0,1.0
Alex Collins,22,RB,Arkansas,171,2013,11,190,1026,4,11,84,0,125.0,1.0
Alex Collins,22,RB,Arkansas,171,2014*,11,204,1100,12,11,84,0,125.0,1.0
Alex Collins,22,RB,Arkansas,171,2015*,11,271,1577,20,11,84,0,125.0,1.0
Keenan Reynolds,22,RB,Navy,182,2012*,13,162,649,10,0,0,0,,
Keenan Reynolds,22,RB,Navy,182,2013*,13,300,1346,31,0,0,0,,
Keenan Reynolds,22,RB,Navy,182,2014*,11,250,1191,23,0,0,0,,
Keenan Reynolds,22,RB,Navy,182,2015*,13,265,1373,24,1,47,0,,
Kelvin Taylor,22,RB,Florida,211,2013,9,111,508,4,5,37,0,,
Kelvin Taylor,22,RB,Florida,211,2014*,12,116,565,6,2,-8,0,,
Kelvin Taylor,22,RB,Florida,211,2015*,14,259,1035,13,17,150,0,,
Darius Jackson,22,RB,Eastern Michigan,216,2012,4,3,12,0,0,0,0,16.0,0.0
Darius Jackson,22,RB,Eastern Michigan,216,2013,4,49,201,2,0,0,0,16.0,0.0
Darius Jackson,22,RB,Eastern Michigan,216,2014,4,61,295,1,0,0,0,16.0,0.0
Darius Jackson,22,RB,Eastern Michigan,216,2015,4,208,1078,14,0,0,0,16.0,0.0
Dwayne Washington,22,RB,Washington,236,2013*,12,47,332,4,10,62,0,265.0,1.0
Dwayne Washington,22,RB,Washington,236,2014*,12,132,697,9,10,62,0,265.0,1.0
Dwayne Washington,22,RB,Washington,236,2015*,12,47,282,4,10,62,0,265.0,1.0
Daniel Lasco,23,RB,California,237,2012,7,6,109,1,2,11,0,32.0,0.0
Daniel Lasco,23,RB,California,237,2013,7,67,317,2,2,11,0,32.0,0.0
Daniel Lasco,23,RB,California,237,2014,7,210,1115,12,2,11,0,32.0,0.0
Daniel Lasco,23,RB,California,237,2015*,7,65,331,3,2,11,0,32.0,0.0
Keith Marshall,22,RB,Georgia,242,2012*,14,117,759,8,11,91,1,,
Keith Marshall,22,RB,Georgia,242,2013*,5,56,246,1,8,111,1,,
Keith Marshall,22,RB,Georgia,242,2014*,3,12,24,0,1,-5,0,,
Keith Marshall,22,RB,Georgia,242,2015*,11,68,350,3,4,28,1,,
Zac Brooks,23,RB,Clemson,247,2012*,8,26,119,0,3,9,0,,
Zac Brooks,23,RB,Clemson,247,2013*,9,48,246,2,6,83,1,,
Zac Brooks,23,RB,Clemson,247,2015*,14,41,234,3,9,113,2,,
Leonard Fournette,22,RB,LSU,4,2014*,13,187,1034,10,36,302,1,1040.0,9.0
Leonard Fournette,22,RB,LSU,4,2015*,13,300,1953,22,36,302,1,1040.0,9.0
Leonard Fournette,22,RB,LSU,4,2016*,13,129,843,8,36,302,1,1040.0,9.0
Christian McCaffrey,21,RB,Stanford,8,2014*,16,42,300,0,80,651,5,435.0,2.0
Christian McCaffrey,21,RB,Stanford,8,2015*,16,337,2019,8,80,651,5,435.0,2.0
Christian McCaffrey,21,RB,Stanford,8,2016*,16,253,1603,13,80,651,5,435.0,2.0
Dalvin Cook,22,RB,Florida St.,41,2014*,4,170,1008,8,11,90,0,354.0,2.0
Dalvin Cook,22,RB,Florida St.,41,2015*,4,229,1691,19,11,90,0,354.0,2.0
Dalvin Cook,22,RB,Florida St.,41,2016*,4,288,1765,19,11,90,0,354.0,2.0
Joe Mixon,21,RB,Oklahoma,48,2015*,14,113,753,7,30,287,0,626.0,4.0
Joe Mixon,21,RB,Oklahoma,48,2016*,14,187,1274,10,30,287,0,626.0,4.0
