name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL
Rashad Greene,22,WR,Florida St.,139.0,2011*,9.0,38.0,596.0,7.0,3.0,44.0,0.0,/cfb/schools/florida-state/2011.html
Rashad Greene,22,WR,Florida St.,139.0,2012*,14.0,57.0,741.0,6.0,4.0,30.0,1.0,/cfb/schools/florida-state/2012.html
Rashad Greene,22,WR,Florida St.,139.0,2013*,14.0,76.0,1128.0,9.0,1.0,9.0,0.0,/cfb/schools/florida-state/2013.html
Rashad Greene,22,WR,Florida St.,139.0,2014*,14.0,99.0,1365.0,7.0,1.0,-2.0,0.0,/cfb/schools/florida-state/2014.html
Rashad Greene,22,WR,,,,9.0,19.0,93.0,2.0,,,,
Stefon Diggs,21,WR,Maryland,146.0,2012,11.0,54.0,848.0,6.0,20.0,114.0,0.0,/cfb/schools/maryland/2012.html
Stefon Diggs,21,WR,Maryland,146.0,2013*,7.0,34.0,587.0,3.0,7.0,45.0,0.0,/cfb/schools/maryland/2013.html
Stefon Diggs,21,WR,Maryland,146.0,2014*,10.0,62.0,792.0,5.0,5.0,28.0,0.0,/cfb/schools/maryland/2014.html
Stefon Diggs,21,WR,,,,13.0,52.0,720.0,4.0,,,,
Tony Lippett,23,WR,Michigan St.,156.0,2011*,14.0,4.0,44.0,0.0,1.0,-3.0,0.0,/cfb/schools/michigan-state/2011.html
Tony Lippett,23,WR,Michigan St.,156.0,2012*,13.0,36.0,392.0,2.0,2.0,0.0,0.0,/cfb/schools/michigan-state/2012.html
Tony Lippett,23,WR,Michigan St.,156.0,2013*,12.0,44.0,613.0,2.0,1.0,3.0,0.0,/cfb/schools/michigan-state/2013.html
Tony Lippett,23,WR,Michigan St.,156.0,2014*,13.0,65.0,1198.0,11.0,2.0,51.0,1.0,/cfb/schools/michigan-state/2014.html
Tony Lippett,23,WR,,,,,,,,,,,
JJ Nelson,23,WR,Ala-Birmingham,159.0,2011*,13.0,0.0,0.0,0.0,0.0,0.0,0.0,/cfb/schools/auburn/2011.html
