name,position_x,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL,YPC,YPG,TDPG,RPG,Team_RPG,Team_YPG,Team_TDPG,YPG_diff,RPG_diff,TDPG_diff,second_last_TDPG,second_last_RPG,second_last_YPG,age,position_y,nfl_games, nfl_recs, nfl_recYDS, nfl_recTDS
Titus Young,WR,Boise St.,44.0,2010.0,13.0,71.0,1215.0,9.0,14.0,94.0,1.0,/cfb/schools/boise-state/2010.html,17.112676056338028,93.46153846153848,0.6923076923076923,5.461538461538462,23.0,321.1,2.9,19.10439560439561,-0.1813186813186815,-0.021978021978022,0.7142857142857143,5.642857142857143,74.35714285714286,22,WR,16.0,48.0,607.0,6.0
Torrey Smith,WR,Maryland,58.0,2010.0,13.0,67.0,1055.0,12.0,9.0,7.0,0.0,/cfb/schools/maryland/2010.html,15.74626865671642,81.15384615384616,0.9230769230769232,5.153846153846154,16.8,214.7,2.1,12.487179487179487,0.0705128205128211,0.5064102564102564,0.4166666666666667,5.083333333333333,68.66666666666667,22,WR,16.0,50.0,841.0,7.0
Austin Pettis,WR,Boise St.,78.0,2010.0,13.0,71.0,951.0,10.0,0.0,0.0,0.0,/cfb/schools/boise-state/2010.html,13.394366197183098,73.15384615384616,0.7692307692307693,5.461538461538462,23.0,321.1,2.9,7.384615384615387,0.6153846153846159,-0.3076923076923076,1.0769230769230769,4.846153846153846,65.76923076923077,23,WR,12.0,27.0,256.0,0.0
Leonard Hankerson,WR,Miami (FL),79.0,2010.0,13.0,72.0,1156.0,13.0,0.0,0.0,0.0,/cfb/schools/miami-fl/2010.html,16.055555555555557,88.92307692307692,1.0,5.538461538461538,18.5,238.8,1.6,27.307692307692307,2.0769230769230766,0.5384615384615384,0.4615384615384615,3.4615384615384617,61.61538461538461,22,WR,4.0,13.0,163.0,0.0
Vincent Brown,WR,San Diego St.,82.0,2010.0,13.0,69.0,1352.0,10.0,1.0,-13.0,0.0,/cfb/schools/san-diego-state/2010.html,19.594202898550726,104.0,0.7692307692307693,5.307692307692308,18.8,295.4,2.2,-7.142857142857139,-1.1208791208791211,-0.0879120879120878,0.8571428571428571,6.428571428571429,111.14285714285714,22,WR,14.0,19.0,329.0,2.0
Jerrel Jernigan,WR,Troy,83.0,2010.0,13.0,84.0,822.0,6.0,45.0,322.0,3.0,/cfb/schools/troy/2010.html,9.785714285714286,63.23076923076923,0.4615384615384615,6.461538461538462,26.2,296.8,2.5,-21.46153846153846,1.0,0.1538461538461538,0.3076923076923077,5.461538461538462,84.6923076923077,22,WR,8.0,0.0,0.0,0.0
Kris Durham,WR,Georgia,107.0,2010.0,11.0,32.0,659.0,3.0,0.0,0.0,0.0,/cfb/schools/georgia/2010.html,20.59375,59.90909090909091,0.2727272727272727,2.909090909090909,16.8,242.4,1.9,40.00909090909091,1.6090909090909091,0.1727272727272727,0.1,1.3,19.9,23,WR,3.0,3.0,30.0,0.0
Clyde Gates,WR,Abilene Christian,111.0,2010.0,11.0,32.0,659.0,3.0,0.0,0.0,0.0,/cfb/schools/georgia/2010.html,20.59375,59.90909090909091,0.2727272727272727,2.909090909090909,16.8,242.4,1.9,40.00909090909091,1.6090909090909091,0.1727272727272727,0.1,1.3,19.9,25,WR,15.0,2.0,19.0,0.0
Greg Salas,WR,Hawaii,112.0,2010.0,14.0,119.0,1889.0,14.0,0.0,0.0,0.0,/cfb/schools/hawaii/2010.html,15.873949579831931,134.92857142857142,1.0,8.5,28.1,394.3,3.0,12.62087912087911,0.3461538461538467,0.3846153846153846,0.6153846153846154,8.153846153846153,122.3076923076923,23,WR,6.0,27.0,264.0,0.0
Cecil Shorts,WR,Mount Union,114.0,2010.0,14.0,119.0,1889.0,14.0,0.0,0.0,0.0,/cfb/schools/hawaii/2010.html,15.873949579831931,134.92857142857142,1.0,8.5,28.1,394.3,3.0,12.62087912087911,0.3461538461538467,0.3846153846153846,0.6153846153846154,8.153846153846153,122.3076923076923,23,WR,10.0,2.0,30.0,1.0
