name,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL,YPC,YPG,TDPG,RPG,Team_RPG,Team_YPG,Team_TDPG,YPG_diff,RPG_diff,TDPG_diff,second_last_TDPG,second_last_RPG,second_last_YPG
Chris Givens,WR,Wake Forest,96,2011,13,83,1330,9,14,77,0,/cfb/schools/wake-forest/2011.html,16.02409638554217,102.3076923076923,0.6923076923076923,6.384615384615385,21.4,253.2,1.7,55.58041958041958,3.2027972027972034,0.32867132867132864,0.36363636363636365,3.1818181818181817,46.72727272727273
Chris Harper,WR,Kansas St.,123,2012,13,58,857,3,0,-7,0,/cfb/schools/kansas-state/2012.html,14.775862068965518,65.92307692307692,0.23076923076923078,4.461538461538462,15.6,207.4,1.2,23.84615384615384,1.3846153846153846,-0.15384615384615385,0.38461538461538464,3.076923076923077,42.07692307692308
Clyde Gates,WR,Abilene Christian,111,2010,11,32,659,3,0,0,0,/cfb/schools/georgia/2010.html,20.59375,59.90909090909091,0.2727272727272727,2.909090909090909,16.8,242.4,1.9,40.00909090909091,1.6090909090909091,0.1727272727272727,0.1,1.3,19.9
Cobi Hamilton,WR,Arkansas,197,2012,12,90,1335,5,0,0,0,/cfb/schools/arkansas/2012.html,14.833333333333334,111.25,0.4166666666666667,7.5,22.7,301.5,1.9,69.5576923076923,4.884615384615385,0.10897435897435898,0.3076923076923077,2.6153846153846154,41.69230769230769
Cody Latimer,WR,Indiana,56,2013,12,72,1096,9,0,0,0,/cfb/schools/indiana/2013.html,15.222222222222221,91.33333333333333,0.75,6.0,23.3,306.7,3.0,24.25,1.75,0.25,0.5,4.25,67.08333333333333
Corey Fuller,WR,Virginia Tech,171,2012,13,43,815,6,1,10,0,/cfb/schools/virginia-tech/2012.html,18.953488372093023,62.69230769230769,0.46153846153846156,3.3076923076923075,17.2,230.9,1.4,59.97802197802198,3.021978021978022,0.46153846153846156,0.0,0.2857142857142857,2.7142857142857144
Damian Williams,WR,USC,77,2009,12,70,1010,6,2,16,0,/cfb/schools/southern-california/2009.html,14.428571428571429,84.16666666666667,0.5,5.833333333333333,17.5,222.3,1.2,17.320512820512832,1.3717948717948714,-0.1923076923076923,0.6923076923076923,4.461538461538462,66.84615384615384
Danny Coale,WR,Virginia Tech,152,2011,14,60,904,3,4,26,0,/cfb/schools/virginia-tech/2011.html,15.066666666666666,64.57142857142857,0.21428571428571427,4.285714285714286,17.4,226.1,1.5,12.285714285714285,1.5,0.0,0.21428571428571427,2.7857142857142856,52.285714285714285
Davante Adams,WR,Fresno St.,53,2013,13,131,1719,24,0,0,0,/cfb/schools/fresno-state/2013.html,13.122137404580153,132.23076923076923,1.8461538461538463,10.076923076923077,35.5,394.9,3.8,31.307692307692307,2.230769230769231,0.7692307692307694,1.0769230769230769,7.846153846153846,100.92307692307692
David Ausberry,WR,USC,241,2010,13,20,252,4,2,14,0,/cfb/schools/southern-california/2010.html,12.6,19.384615384615383,0.3076923076923077,1.5384615384615385,21.5,242.2,2.2,1.8131868131868103,-0.17582417582417564,0.3076923076923077,0.0,1.7142857142857142,17.571428571428573
David Gettis,WR,Baylor,198,2009,12,52,675,3,0,0,0,/cfb/schools/baylor/2009.html,12.98076923076923,56.25,0.25,4.333333333333333,22.3,242.3,1.1,23.666666666666664,1.9166666666666665,0.25,0.0,2.4166666666666665,32.583333333333336
David Reed,WR,Utah,156,2009,13,81,1188,5,4,4,0,/cfb/schools/utah/2009.html,14.666666666666666,91.38461538461539,0.38461538461538464,6.230769230769231,18.8,229.2,1.5,58.53846153846154,4.3076923076923075,-0.07692307692307693,0.46153846153846156,1.9230769230769231,32.84615384615385
DeAndre Hopkins,WR,Clemson,27,2012,13,82,1405,18,0,0,0,/cfb/schools/clemson/2012.html,17.134146341463413,108.07692307692308,1.3846153846153846,6.3076923076923075,24.5,321.6,3.1,38.21978021978022,1.1648351648351642,1.0274725274725274,0.35714285714285715,5.142857142857143,69.85714285714286
