name,school,draft_pick,season,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,YPG,TDPG,RPG,YPG_diff,RPG_diff,TDPG_diff,second_last_TDPG,second_last_RPG,second_last_YPG,age,nfl_games,nfl_recs,nfl_recYDS,nfl_recTDS,Yards_percentage,Receptions_Percentage,TD_Percentage,nfl_YPG,nfl_TDPG,nfl_RPG
Calvin Ridley,Alabama,26.0,2017.0,63.0,967.0,5.0,2.0,17.0,0.0,69.07142857142857,0.3571428571428571,4.5,17.804761904761904,-0.2999999999999998,-0.1095238095238095,0.4666666666666667,4.8,51.266666666666666,23,16.0,64.0,821.0,10.0,0.3571428571428571,0.02326783867631851,0.17857142857142855,51.3125,0.625,4.0
Courtland Sutton,SMU,40.0,2017.0,68.0,1085.0,12.0,1.0,2.0,1.0,83.46153846153847,0.9230769230769232,5.230769230769231,-20.37179487179486,-1.1025641025641022,0.0897435897435897,0.8333333333333334,6.333333333333333,103.83333333333331,22,16.0,42.0,704.0,4.0,0.28378625794470747,0.017785682525566917,0.34188034188034194,44.0,0.25,2.625
Dante Pettis,Washington,44.0,2017.0,63.0,761.0,7.0,3.0,50.0,0.0,58.53846153846154,0.5384615384615384,4.846153846153846,-0.1758241758241752,1.0604395604395602,-0.532967032967033,1.0714285714285714,3.7857142857142856,58.71428571428572,22,12.0,27.0,467.0,5.0,0.2634494218652635,0.02180987329502181,0.358974358974359,38.916666666666664,0.4166666666666667,2.25
Christian Kirk,Texas A&M,47.0,2017.0,71.0,919.0,10.0,4.0,31.0,0.0,70.6923076923077,0.7692307692307693,5.461538461538462,-0.6923076923076934,-0.9230769230769234,0.0769230769230769,0.6923076923076923,6.384615384615385,71.38461538461539,21,12.0,43.0,590.0,3.0,0.2814184223419892,0.021741793238608528,0.4524886877828055,49.166666666666664,0.25,3.5833333333333335
Anthony Miller,Memphis,51.0,2017.0,96.0,1462.0,18.0,10.0,25.0,0.0,112.46153846153848,1.3846153846153846,7.384615384615385,2.1538461538461604,0.0769230769230775,0.3076923076923077,1.0769230769230769,7.3076923076923075,110.3076923076923,23,15.0,33.0,423.0,7.0,0.33570608495981635,0.02204362801377727,0.4615384615384615,28.2,0.4666666666666667,2.2
James Washington,Oklahoma St.,60.0,2017.0,74.0,1549.0,13.0,3.0,12.0,1.0,119.15384615384616,1.0,5.6923076923076925,13.0,0.2307692307692308,0.2307692307692307,0.7692307692307693,5.461538461538462,106.15384615384616,22,14.0,16.0,217.0,1.0,0.3061506838485256,0.014625662107676497,0.35714285714285715,15.5,0.07142857142857142,1.1428571428571428
DJ Chark,LSU,61.0,2017.0,40.0,874.0,3.0,12.0,63.0,1.0,67.23076923076923,0.2307692307692307,3.076923076923077,28.39743589743589,0.9102564102564106,-0.0192307692307692,0.25,2.1666666666666665,38.833333333333336,21,11.0,14.0,174.0,0.0,0.3303723303723303,0.015120015120015122,0.17751479289940822,15.818181818181818,0.0,1.2727272727272727
Michael Gallup,Colorado St.,81.0,2017.0,100.0,1413.0,7.0,0.0,0.0,0.0,108.6923076923077,0.5384615384615384,7.6923076923076925,10.846153846153854,1.8461538461538467,-0.5384615384615384,1.0769230769230769,5.846153846153846,97.84615384615384,22,16.0,33.0,507.0,2.0,0.37147063462852936,0.0262894999737105,0.2447552447552447,31.6875,0.125,2.0625
Tre'Quan Smith,Central Florida,91.0,2017.0,59.0,1171.0,13.0,5.0,23.0,1.0,90.07692307692308,1.0,4.538461538461538,24.461538461538467,0.1538461538461533,0.6153846153846154,0.3846153846153846,4.384615384615385,65.61538461538461,22,15.0,28.0,427.0,5.0,0.27147957527704364,0.013678304817545324,0.3448275862068966,28.466666666666665,0.3333333333333333,1.8666666666666667
Keke Coutee,Texas Tech,103.0,2017.0,93.0,1429.0,10.0,5.0,15.0,0.0,109.92307692307692,0.7692307692307693,7.153846153846154,35.75641025641025,2.570512820512821,0.1858974358974359,0.5833333333333334,4.583333333333333,74.16666666666667,21,6.0,28.0,287.0,1.0,0.3294068831977133,0.02143795670915839,0.2849002849002849,47.833333333333336,0.16666666666666666,4.666666666666667
