name,school,draft_pick,season,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,YPG,TDPG,RPG,YPG_diff,RPG_diff,TDPG_diff,second_last_TDPG,second_last_RPG,second_last_YPG,age,nfl_games,nfl_recs,nfl_recYDS,nfl_recTDS,Yards_percentage,Receptions_Percentage,TD_Percentage,nfl_YPG,nfl_TDPG,nfl_RPG,conference_ACC,conference_Big 12,conference_Big Ten,conference_Other,conference_SEC
Jacoby Ford,Clemson,108.0,2009.0,56.0,779.0,6.0,18.0,122.0,2.0,55.642857142857146,0.4285714285714285,4.0,1.0274725274725327,-0.2307692307692308,0.1208791208791208,0.3076923076923077,4.230769230769231,54.61538461538461,23,16.0,25.0,470.0,2.0,0.2898065476190476,0.020833333333333332,0.2678571428571428,29.375,0.125,1.5625,True,False,False,False,False
David Reed,Utah,156.0,2009.0,81.0,1188.0,5.0,4.0,4.0,0.0,91.3846153846154,0.3846153846153846,6.230769230769231,58.53846153846154,4.307692307692308,-0.0769230769230769,0.4615384615384615,1.9230769230769231,32.84615384615385,23,13.0,0.0,0.0,0.0,0.39871123640757156,0.027184857027788965,0.2564102564102564,0.0,0.0,0.0,False,True,False,False,False
Riley Cooper,Florida,159.0,2009.0,51.0,961.0,9.0,1.0,14.0,0.0,68.64285714285714,0.6428571428571429,3.642857142857143,50.0,2.3571428571428568,0.4285714285714286,0.2142857142857142,1.2857142857142858,18.642857142857142,22,13.0,7.0,116.0,1.0,0.2907363707871967,0.015429297513160283,0.32142857142857145,8.923076923076923,0.07692307692307693,0.5384615384615384,False,False,False,False,True
Carlton Mitchell,South Florida,177.0,2009.0,40.0,706.0,4.0,0.0,0.0,0.0,64.18181818181819,0.3636363636363636,3.636363636363636,33.027972027972034,1.4825174825174825,0.2867132867132867,0.0769230769230769,2.1538461538461537,31.153846153846157,22,5.0,0.0,0.0,0.0,0.32964467479105386,0.01867675211280758,0.2424242424242424,0.0,0.0,0.0,False,False,False,True,False
Dezmon Briscoe,Kansas,191.0,2009.0,84.0,1337.0,9.0,2.0,19.0,1.0,121.54545454545456,0.8181818181818182,7.636363636363637,13.31468531468532,0.55944055944056,-0.3356643356643355,1.1538461538461535,7.076923076923077,108.23076923076924,21,2.0,6.0,93.0,1.0,0.39170304397503886,0.02460961532827469,0.4545454545454546,46.5,0.5,3.0,False,True,False,False,False
Antonio Brown,Central Michigan,195.0,2009.0,110.0,1198.0,9.0,42.0,341.0,3.0,85.57142857142857,0.6428571428571429,7.857142857142857,8.802197802197796,0.7032967032967026,0.1043956043956044,0.5384615384615384,7.153846153846154,76.76923076923077,22,9.0,16.0,167.0,0.0,0.3349175286552977,0.030752026838132513,0.32142857142857145,18.555555555555557,0.0,1.7777777777777777,False,False,False,True,False
David Gettis,Baylor,198.0,2009.0,52.0,675.0,3.0,0.0,0.0,0.0,56.25,0.25,4.333333333333333,23.666666666666664,1.9166666666666663,0.25,0.0,2.4166666666666665,32.583333333333336,23,15.0,37.0,508.0,3.0,0.23215022699133306,0.01788416563488788,0.22727272727272727,33.86666666666667,0.2,2.466666666666667,False,True,False,False,False
Kyle Williams,Arizona St.,206.0,2009.0,57.0,815.0,8.0,5.0,73.0,0.0,74.0909090909091,0.7272727272727273,5.181818181818182,41.0,3.454545454545454,0.3636363636363636,0.3636363636363636,1.7272727272727273,33.09090909090909,22,5.0,1.0,8.0,0.0,0.34428861101723557,0.024079080770530586,0.5194805194805195,1.6,0.0,0.2,False,True,False,False,False
Terrence Austin,UCLA,219.0,2009.0,37.0,455.0,4.0,5.0,25.0,0.0,35.0,0.3076923076923077,2.8461538461538463,-3.333333333333336,-1.5705128205128207,0.2243589743589744,0.0833333333333333,4.416666666666667,38.333333333333336,22,5.0,3.0,47.0,0.0,0.1570915619389587,0.012774478663168071,0.38461538461538464,9.4,0.0,0.6,False,False,True,False,False
Marc Mariani,Montana,222.0,2009.0,37.0,455.0,4.0,5.0,25.0,0.0,35.0,0.3076923076923077,2.8461538461538463,-3.333333333333336,-1.5705128205128207,0.2243589743589744,0.0833333333333333,4.416666666666667,38.333333333333336,23,16.0,0.0,0.0,0.0,0.1570915619389587,0.012774478663168071,0.38461538461538464,0.0,0.0,0.0,False,False,False,True,False
Dorin Dickerson,Pittsburgh,227.0,2009.0,49.0,529.0,10.0,0.0,0.0,0.0,40.69230769230769,0.7692307692307693,3.769230769230769,27.307692307692307,2.769230769230769,0.6153846153846154,0.1538461538461538,1.0,13.384615384615383,22,7.0,0.0,0.0,0.0,0.19258072736539372,0.017838290436492044,0.4273504273504274,0.0,0.0,0.0,True,False,False,False,False
A.J. Green,Georgia,4.0,2010.0,57.0,848.0,9.0,3.0,44.0,0.0,94.22222222222224,1.0,6.333333333333333,13.422222222222231,1.0333333333333332,0.4,0.6,5.3,80.8,23,15.0,65.0,1057.0,7.0,0.3887055372203888,0.026127612761276127,0.5263157894736842,70.46666666666667,0.4666666666666667,4.333333333333333,False,False,False,False,True
Julio Jones,Alabama,6.0,2010.0,78.0,1133.0,7.0,8.0,135.0,2.0,87.15384615384616,0.5384615384615384,6.0,41.30769230769232,2.6923076923076925,0.2307692307692307,0.3076923076923077,3.3076923076923075,45.84615384615385,22,13.0,54.0,959.0,8.0,0.33366709859818594,0.022970903522205207,0.29914529914529914,73.76923076923077,0.6153846153846154,4.153846153846154,False,False,False,False,True
