name,position,school,age,draft_pick,season,college_games,conference,conference_ACC,conference_Big 12,conference_Big Ten,conference_Other,conference_SEC,rush_att_pg,rush_yds_pg,rush_tds_pg,rec_pg,rec_yds_pg,rec_tds_pg,rush_yards_per_att,volume_pg,total_yards,total_tds,scrimmage_yds_pg,tds_pg,yards_per_touch,latest_vs_prev_yards_pg,latest_vs_prev_tds_pg,draft_pick_log,draft_pick_inverse,nfl_games,nfl_rushingYDS,nfl_rushingTDS,nfl_recs,nfl_recYDS,nfl_recTDS,fantasy_points,position_QB,position_RB,position_WR,position_TE
Jordan Wilkins,RB,Mississippi,24,169.0,2017.0,12.0,SEC,0,0,0,0,1,12.916666666666666,84.25,0.75,2.1666666666666665,20.083333333333332,0.08333333333333333,6.52258064516129,15.083333333333334,1252.0,10.0,104.33333333333333,0.8333333333333334,6.917127071823205,69.41025641025641,0.5256410256410257,5.135798437050262,0.07692307692307693,16.0,336.0,1.0,16.0,85.0,0.0,64.1,0,1,0,0
Josh Jacobs,RB,Alabama,21,24.0,2018.0,15.0,SEC,0,0,0,0,1,8.0,42.666666666666664,0.7333333333333333,1.3333333333333333,16.466666666666665,0.2,5.333333333333333,9.333333333333334,887.0,14.0,59.13333333333333,0.9333333333333333,6.335714285714285,21.46666666666667,0.6833333333333333,3.2188758248682006,0.20412414523193154,13.0,1150.0,7.0,20.0,166.0,0.0,193.6,0,1,0,0
Josh Robinson,RB,Mississippi St.,23,205.0,2014.0,13.0,SEC,0,0,0,0,1,14.615384615384615,92.53846153846153,0.8461538461538461,2.1538461538461537,28.46153846153846,0.07692307692307693,6.331578947368421,16.76923076923077,1573.0,12.0,121.0,0.9230769230769231,7.215596330275229,76.84615384615384,0.6923076923076923,5.327876168789581,0.06984302957695782,5.0,39.0,0.0,6.0,33.0,0.0,13.200000000000001,0,1,0,0
Joshua Kelley,RB,UCLA,22,112.0,2019.0,11.0,Big Ten,0,0,1,0,0,20.818181818181817,96.36363636363636,1.0909090909090908,1.0,6.454545454545454,0.09090909090909091,4.62882096069869,21.818181818181817,1131.0,13.0,102.81818181818181,1.1818181818181819,4.7125,-27.72727272727272,0.09090909090909105,4.727387818712341,0.0944911182523068,14.0,354.0,2.0,23.0,148.0,0.0,85.2,0,1,0,0
Justice Hill,RB,Oklahoma St.,21,113.0,2018.0,10.0,Big 12,0,1,0,0,0,15.8,93.0,0.9,1.3,6.8,0.0,5.886075949367089,17.1,998.0,9.0,99.8,0.9,5.83625730994152,-27.66153846153847,-0.3307692307692308,4.736198448394496,0.09407208683835973,16.0,225.0,2.0,8.0,70.0,0.0,49.5,0,1,0,0
Justin Jackson,RB,Northwestern,22,251.0,2017.0,13.0,Big Ten,0,0,1,0,0,22.076923076923077,100.84615384615384,0.8461538461538461,3.3846153846153846,21.23076923076923,0.0,4.56794425087108,25.46153846153846,1587.0,11.0,122.07692307692308,0.8461538461538461,4.794561933534744,-11.999999999999986,-0.3076923076923076,5.529429087511423,0.06311944030978031,13.0,206.0,2.0,15.0,135.0,0.0,61.1,0,1,0,0
Kalen Ballage,RB,Arizona St.,22,131.0,2017.0,13.0,Big 12,0,1,0,0,0,12.076923076923077,51.46153846153846,0.46153846153846156,1.5384615384615385,7.0,0.0,4.261146496815287,13.615384615384615,760.0,6.0,58.46153846153846,0.46153846153846156,4.293785310734464,-25.28846153846154,-0.7884615384615384,4.882801922586371,0.0873704056661038,12.0,191.0,1.0,9.0,56.0,0.0,39.7,0,1,0,0
Kareem Hunt,RB,Toledo,22,86.0,2016.0,13.0,Other,0,0,0,1,0,20.153846153846153,113.46153846153847,0.7692307692307693,3.1538461538461537,31.0,0.07692307692307693,5.629770992366412,23.307692307692307,1878.0,11.0,144.46153846153845,0.8461538461538461,6.198019801980198,42.661538461538456,-0.3538461538461538,4.465908118654584,0.10783277320343841,16.0,1327.0,8.0,53.0,455.0,3.0,297.20000000000005,0,1,0,0
Karlos Williams,RB,Florida St.,22,155.0,2014.0,12.0,ACC,1,0,0,0,0,12.5,57.416666666666664,0.9166666666666666,2.4166666666666665,22.083333333333332,0.08333333333333333,4.593333333333334,14.916666666666666,954.0,12.0,79.5,1.0,5.329608938547486,22.857142857142854,0.2142857142857143,5.049856007249537,0.08032193289024989,11.0,517.0,7.0,11.0,96.0,2.0,126.30000000000001,0,1,0,0
Ke'Shawn Vaughn,RB,Illinois,23,76.0,2019.0,12.0,Big Ten,0,0,1,0,0,16.5,85.66666666666667,0.75,2.4166666666666665,23.833333333333332,0.08333333333333333,5.191919191919192,18.916666666666668,1314.0,10.0,109.5,0.8333333333333334,5.788546255506607,-8.333333333333329,-0.33333333333333337,4.343805421853684,0.11470786693528087,10.0,109.0,0.0,5.0,34.0,1.0,25.3,0,1,0,0
