mae,rmse,r2,spearman,top10_overlap,position,target,model,family
1.3420781195163727,1.7877118341367793,-0.25616184707860584,0.37727965208147585,1.0,QB,nfl_rushingTDS,xgboost_cuda,boosted_tree
1.3521643843499116,1.7749391793770632,-0.2994787448426925,0.33911370120414824,1.0,QB,nfl_rushingTDS,gradient_boosting,boosted_tree
1.3888888888888888,2.165728991514628,-0.6674863387978142,,1.0,QB,nfl_rushingTDS,median,baseline
54.09616083246759,67.63153034699441,0.36274552198262777,0.6782064606464683,1.0,QB,fantasy_points,elastic_net,linear
53.75169747969542,67.51022358458698,0.38310573521120356,0.6529562468772463,1.0,QB,fantasy_points,ridge,linear
44.36981050664728,55.14876458935851,0.5207253457056343,0.5872349519951426,0.9,QB,fantasy_points,residual_mlp,neural_net
60.80933707987853,79.94255333344621,0.08381556620949132,0.5298524934549207,0.95,QB,fantasy_points,extra_trees,bagging_tree
60.90941608572345,80.25307523574568,0.009516148538837532,0.5181731405368346,0.95,QB,fantasy_points,gradient_boosting,boosted_tree
60.17047876382426,79.23789921720551,0.10796970623760693,0.5089165987209551,0.9,QB,fantasy_points,random_forest,bagging_tree
56.53337848316539,70.32468652115455,0.23830567701772298,0.40679704032070013,0.95,QB,fantasy_points,mlp,neural_net
63.713231312144885,82.97539350851224,-0.12765740128634823,0.4058310345585971,0.9,QB,fantasy_points,xgboost_cuda,boosted_tree
75.51181818181819,107.69719848975802,-0.2733533195560146,,0.9,QB,fantasy_points,median,baseline
180.2353641679874,248.52222907820743,0.26565055007941096,0.5677170868347339,0.8500000000000001,RB,nfl_rushingYDS,random_forest,bagging_tree
185.4253405104797,250.02296552364882,0.26478595404386707,0.5319327731092436,0.8,RB,nfl_rushingYDS,extra_trees,bagging_tree
194.819882088708,253.83965142009265,0.26666449021907823,0.4919117647058823,0.8,RB,nfl_rushingYDS,ridge,linear
195.4185271690879,254.33500246534453,0.2647009785937441,0.49558823529411766,0.8,RB,nfl_rushingYDS,elastic_net,linear
201.9495391845703,273.61681818746126,0.16664936163244637,0.4378501400560224,0.7,RB,nfl_rushingYDS,residual_mlp,neural_net
202.65357448921708,258.85609234244254,0.18096473694627702,0.4501750700280111,0.8,RB,nfl_rushingYDS,gradient_boosting,boosted_tree
208.57250943651385,266.38332322825823,0.17032487190374945,0.42275910364145647,0.8,RB,nfl_rushingYDS,xgboost_cuda,boosted_tree
237.17007712569892,315.21091148878713,-0.14819393675700204,0.4127100840336134,0.7,RB,nfl_rushingYDS,mlp,neural_net
241.40392156862745,310.32775650333275,-0.0009272199955387972,,0.5,RB,nfl_rushingYDS,median,baseline
1.7607843137254902,2.7198978090318686,-0.1025370047138664,,0.6,RB,nfl_rushingTDS,median,baseline
1.8043531929745393,2.482650432166067,0.03530961288955836,0.33886685950036977,0.7,RB,nfl_rushingTDS,residual_mlp,neural_net
1.8413177598485735,2.366822628339034,0.09933790737986642,0.3756539695132702,0.75,RB,nfl_rushingTDS,elastic_net,linear
1.8478149315192725,2.3749589531636772,0.09517133374917369,0.3861641897148174,0.75,RB,nfl_rushingTDS,ridge,linear
1.8706234775676729,2.415532268343026,0.045630167177931,0.3096911527951353,0.7,RB,nfl_rushingTDS,random_forest,bagging_tree
1.8791201986076627,2.4027274676506907,0.06744898881773431,0.3630888581531577,0.75,RB,nfl_rushingTDS,extra_trees,bagging_tree
1.8899907622153793,2.375038999363462,0.08750016325555321,0.36967147657405586,0.7,RB,nfl_rushingTDS,gradient_boosting,boosted_tree
1.9418456542725657,2.4223667540229883,0.056518244343619295,0.2614293360260409,0.6499999999999999,RB,nfl_rushingTDS,xgboost_cuda,boosted_tree
1.9726681711626988,2.664458368151368,-0.159077925658274,0.37039752010501137,0.7,RB,nfl_rushingTDS,mlp,neural_net
9.518628585419453,13.211095284326206,0.26936971080690775,0.5624656788638418,0.8,RB,nfl_recs,extra_trees,bagging_tree
9.549834405054035,13.073992029314933,0.2877323046253478,0.590872859638703,0.75,RB,nfl_recs,elastic_net,linear
9.609403157337601,13.10389807424664,0.2832258645660152,0.5970229630105092,0.75,RB,nfl_recs,ridge,linear
9.90947878220502,14.136054902775607,0.16542481480563354,0.5230044425382292,0.8,RB,nfl_recs,residual_mlp,neural_net
10.5116614160012,14.19506579507502,0.18550364392435703,0.5404427890124727,0.8,RB,nfl_recs,random_forest,bagging_tree
11.22956153645235,15.707841017352386,-0.06211713258637591,0.5015881092535004,0.8,RB,nfl_recs,mlp,neural_net
11.68779461496475,14.977699358953796,0.12958539403522734,0.43511325560227754,0.75,RB,nfl_recs,gradient_boosting,boosted_tree
11.760304091958439,15.392737276675916,0.1056951181457868,0.4579699898465942,0.75,RB,nfl_recs,xgboost_cuda,boosted_tree
13.266666666666667,17.58112237470049,-0.10539594141493691,,0.5,RB,nfl_recs,median,baseline
74.04217606241886,99.99862873997066,0.332788486076969,0.6134519673809515,0.8,RB,nfl_recYDS,ridge,linear
74.21893305118117,100.13455906859538,0.33492197454060113,0.6159089772542788,0.8,RB,nfl_recYDS,elastic_net,linear
76.46630881814396,105.91807686598217,0.23673335305385046,0.523382185576015,0.8,RB,nfl_recYDS,residual_mlp,neural_net
85.92716423257914,107.08959341568382,0.2395090219459809,0.5174879673838497,0.8,RB,nfl_recYDS,extra_trees,bagging_tree
91.07547813864315,121.13635330899046,-0.01562793590910949,0.46808848896497696,0.8,RB,nfl_recYDS,mlp,neural_net
94.51518958575775,120.79804186651629,0.07221961787324133,0.5304411149957255,0.8,RB,nfl_recYDS,random_forest,bagging_tree
99.47436733730505,124.42417272076722,0.021360061803417707,0.412458690173392,0.75,RB,nfl_recYDS,gradient_boosting,boosted_tree
103.49509803921569,134.97154369836267,-0.0929504003923175,,0.55,RB,nfl_recYDS,median,baseline
104.11971558215572,129.35611414228856,-0.017552605512768604,0.4023404994021601,0.75,RB,nfl_recYDS,xgboost_cuda,boosted_tree
0.5392156862745098,1.1203673671615761,-0.29869186046511653,,0.75,RB,nfl_recTDS,median,baseline
0.6000241729558683,0.8687381770916947,0.17559284479726528,0.28291787885166864,0.75,RB,nfl_recTDS,residual_mlp,neural_net
0.6072076780966105,0.8293196332370926,0.2623908625257083,0.41909407046477476,0.7,RB,nfl_recTDS,ridge,linear
0.6245674581911693,0.8444696449235893,0.23443544028362,0.3624755670683657,0.7,RB,nfl_recTDS,elastic_net,linear
