name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL
Kyle Williams,22,WR,Arizona St.,206.0,2008,11.0,19.0,364.0,4.0,6.0,42.0,0.0,/cfb/schools/arizona-state/2008.html
Kyle Williams,22,WR,Arizona St.,206.0,2009,11.0,57.0,815.0,8.0,5.0,73.0,0.0,/cfb/schools/arizona-state/2009.html
Kyle Williams,22,WR,,,,5.0,1.0,8.0,0.0,,,,
Terrence Austin,22,WR,UCLA,219.0,2006*,9.0,2.0,29.0,0.0,1.0,7.0,0.0,/cfb/schools/ucla/2006.html
Terrence Austin,22,WR,UCLA,219.0,2007*,13.0,17.0,248.0,0.0,4.0,24.0,0.0,/cfb/schools/ucla/2007.html
Terrence Austin,22,WR,UCLA,219.0,2008,12.0,53.0,460.0,1.0,13.0,90.0,0.0,/cfb/schools/ucla/2008.html
Terrence Austin,22,WR,UCLA,219.0,2009*,13.0,37.0,455.0,4.0,5.0,25.0,0.0,/cfb/schools/ucla/2009.html
Terrence Austin,22,WR,,,,5.0,3.0,47.0,0.0,,,,
Marc Mariani,23,WR,Montana,222.0,2006*,9.0,2.0,29.0,0.0,1.0,7.0,0.0,/cfb/schools/ucla/2006.html
Marc Mariani,23,WR,Montana,222.0,2007*,13.0,17.0,248.0,0.0,4.0,24.0,0.0,/cfb/schools/ucla/2007.html
Marc Mariani,23,WR,Montana,222.0,2008,12.0,53.0,460.0,1.0,13.0,90.0,0.0,/cfb/schools/ucla/2008.html
Marc Mariani,23,WR,Montana,222.0,2009*,13.0,37.0,455.0,4.0,5.0,25.0,0.0,/cfb/schools/ucla/2009.html
Marc Mariani,23,WR,,,,16.0,0.0,0.0,0.0,,,,
Dorin Dickerson,22,WR,Pittsburgh,227.0,2006,7.0,1.0,5.0,0.0,3.0,25.0,1.0,/cfb/schools/pittsburgh/2006.html
Dorin Dickerson,22,WR,Pittsburgh,227.0,2007,12.0,0.0,0.0,0.0,0.0,0.0,0.0,/cfb/schools/pittsburgh/2007.html
Dorin Dickerson,22,WR,Pittsburgh,227.0,2008*,13.0,13.0,174.0,2.0,2.0,25.0,0.0,/cfb/schools/pittsburgh/2008.html
Dorin Dickerson,22,WR,Pittsburgh,227.0,2009*,13.0,49.0,529.0,10.0,0.0,0.0,0.0,/cfb/schools/pittsburgh/2009.html
Dorin Dickerson,22,WR,,,,7.0,0.0,0.0,0.0,,,,
Tim Toone,25,WR,,,,,,,,,,,
A.J. Green,23,WR,Georgia,4.0,2008*,13.0,56.0,963.0,8.0,4.0,61.0,0.0,/cfb/schools/georgia/2008.html
A.J. Green,23,WR,Georgia,4.0,2009*,10.0,53.0,808.0,6.0,0.0,0.0,0.0,/cfb/schools/georgia/2009.html
A.J. Green,23,WR,Georgia,4.0,2010*,9.0,57.0,848.0,9.0,3.0,44.0,0.0,/cfb/schools/georgia/2010.html
A.J. Green,23,WR,,,,15.0,65.0,1057.0,7.0,,,,
Julio Jones,22,WR,Alabama,6.0,2008*,14.0,58.0,924.0,4.0,0.0,0.0,0.0,/cfb/schools/alabama/2008.html
Julio Jones,22,WR,Alabama,6.0,2009*,13.0,43.0,596.0,4.0,2.0,4.0,0.0,/cfb/schools/alabama/2009.html
Julio Jones,22,WR,Alabama,6.0,2010*,13.0,78.0,1133.0,7.0,8.0,135.0,2.0,/cfb/schools/alabama/2010.html
Julio Jones,22,WR,,,,13.0,54.0,959.0,8.0,,,,
Jonathan Baldwin,22,WR,Pittsburgh,26.0,2008*,13.0,18.0,404.0,3.0,1.0,4.0,0.0,/cfb/schools/pittsburgh/2008.html
Jonathan Baldwin,22,WR,Pittsburgh,26.0,2009*,13.0,57.0,1111.0,8.0,1.0,61.0,0.0,/cfb/schools/pittsburgh/2009.html
Jonathan Baldwin,22,WR,Pittsburgh,26.0,2010*,13.0,53.0,822.0,5.0,3.0,3.0,0.0,/cfb/schools/pittsburgh/2010.html
Jonathan Baldwin,22,WR,,,,11.0,21.0,254.0,1.0,,,,
Titus Young,22,WR,Boise St.,44.0,2007*,13.0,44.0,639.0,5.0,13.0,66.0,2.0,/cfb/schools/boise-state/2007.html
Titus Young,22,WR,Boise St.,44.0,2008*,3.0,10.0,168.0,1.0,5.0,52.0,2.0,/cfb/schools/boise-state/2008.html
Titus Young,22,WR,Boise St.,44.0,2009*,14.0,79.0,1041.0,10.0,15.0,138.0,3.0,/cfb/schools/boise-state/2009.html
Titus Young,22,WR,Boise St.,44.0,2010*,13.0,71.0,1215.0,9.0,14.0,94.0,1.0,/cfb/schools/boise-state/2010.html
Titus Young,22,WR,,,,16.0,48.0,607.0,6.0,,,,
Torrey Smith,22,WR,Maryland,58.0,2008*,13.0,24.0,336.0,2.0,1.0,0.0,0.0,/cfb/schools/maryland/2008.html
Torrey Smith,22,WR,Maryland,58.0,2009,12.0,61.0,824.0,5.0,11.0,59.0,1.0,/cfb/schools/maryland/2009.html
Torrey Smith,22,WR,Maryland,58.0,2010*,13.0,67.0,1055.0,12.0,9.0,7.0,0.0,/cfb/schools/maryland/2010.html
Torrey Smith,22,WR,,,,16.0,50.0,841.0,7.0,,,,
Greg Little,22,WR,,,,16.0,61.0,709.0,2.0,,,,
Randall Cobb,21,WR,,,,15.0,25.0,375.0,1.0,,,,
Austin Pettis,23,WR,Boise St.,78.0,2007*,13.0,46.0,465.0,6.0,0.0,0.0,0.0,/cfb/schools/boise-state/2007.html
Austin Pettis,23,WR,Boise St.,78.0,2008*,13.0,49.0,567.0,9.0,0.0,0.0,0.0,/cfb/schools/boise-state/2008.html
Austin Pettis,23,WR,Boise St.,78.0,2009*,13.0,63.0,855.0,14.0,1.0,-11.0,0.0,/cfb/schools/boise-state/2009.html
Austin Pettis,23,WR,Boise St.,78.0,2010*,13.0,71.0,951.0,10.0,0.0,0.0,0.0,/cfb/schools/boise-state/2010.html
Austin Pettis,23,WR,,,,12.0,27.0,256.0,0.0,,,,
Leonard Hankerson,22,WR,Miami (FL),79.0,2007,8.0,6.0,63.0,1.0,0.0,0.0,0.0,/cfb/schools/miami-fl/2007.html
Leonard Hankerson,22,WR,Miami (FL),79.0,2008*,8.0,11.0,140.0,2.0,0.0,0.0,0.0,/cfb/schools/miami-fl/2008.html
Leonard Hankerson,22,WR,Miami (FL),79.0,2009*,13.0,45.0,801.0,6.0,0.0,0.0,0.0,/cfb/schools/miami-fl/2009.html
Leonard Hankerson,22,WR,Miami (FL),79.0,2010*,13.0,72.0,1156.0,13.0,0.0,0.0,0.0,/cfb/schools/miami-fl/2010.html
Leonard Hankerson,22,WR,,,,4.0,13.0,163.0,0.0,,,,
