player_name,position,college_receiving_yards
Landon Sides,WR,280
Drelon Miller,WR,277
Reese Smith,WR,277
Aziah Johnson,WR,276
Tyson Mobley,WR,276
Jake Bailey,WR,275
Nate McCollum,WR,274
Umari Hatcher,WR,273
Mikey Matthews,WR,272
Beau Sparks,WR,271
Chase Lane,WR,271
Ife Adeyi,WR,271
Jacquon Gibson,WR,270
Cyrus Allen,WR,269
Ayden Greene,WR,268
Malcolm Gillie,WR,267
Silas Bolden,WR,267
Eugene Wilson III,WR,266
Jeremiah Noga,WR,266
Jacob Godfrey,WR,265
Andrew McElroy,WR,264
Braylen Walker,WR,264
Collin Dixon,WR,264
Troy Stellato,WR,264
Davon Wells,WR,262
Jay Wilkerson,WR,262
Reagan Ealy,WR,262
Tray Taylor,WR,262
Adam Jones,WR,255
Jaylen Lloyd,WR,255
Abdur-Rahmaan Yaseen,WR,254
Censere Lee,WR,254
Gee Scott Jr.,WR,253
Mekhi Mews,WR,253
Graham Walker,WR,252
CJ Williams,WR,248
Tyler Morris,WR,248
Myles Alston,WR,246
Deion Burks,WR,245
Talyn Shettron,WR,245
Jared Brown,WR,244
Justin Robinson,WR,244
London Humphreys,WR,244
Spencer Curtis,WR,244
Chris Hilton Jr.,WR,243
Taji Johnson,WR,243
Brock Rechsteiner,WR,241
Ismael Cisse,WR,241
Malachi Holt-Bennett,WR,241
Ahmari Huggins-Bruce,WR,239
Dane Pardridge,WR,238
Isaiah Myers,WR,237
Ketron Jackson Jr.,WR,236
Tyler King,WR,236
Mookie Cooper,WR,235
Jacob Jordan,WR,234
Brenen Thompson,WR,230
Joshua Porter,WR,230
Malique Dieudonne,WR,230
Cole Turner,WR,229
Kris Mitchell,WR,224
Gage Larvadain,WR,223
Marlion Jackson,WR,222
Nathan Kent,WR,222
Tastean Reddicks,WR,222
Trell Harris,WR,221
Solomon Lewis,WR,220
Bryson Green,WR,219
Michael Phoenix II,WR,219
Jordan Ross,WR,218
Micah Mays Jr.,WR,218
Zavion Thomas,WR,218
Omarion Miller,WR,216
Quin Smith,WR,216
Terry Bussey,WR,216
Will Pelissier,WR,212
Jayden Harrison,WR,211
Jojo Phillips,WR,211
Dannis Jackson,WR,210
Sterling Galban,WR,210
Nazeviah Burris,WR,209
Shamar Sandgren,WR,208
Zeriah Beason,WR,208
Jadon Jackson,WR,207
Jarod Bowie,WR,207
Qian Magwood,WR,207
Bailey Stockton,WR,206
Justin Stevenson,WR,204
Christian Moss,WR,203
Justius Lowe,WR,203
Zion Steptoe,WR,203
