name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS
Rashad Greene,22,WR,Florida St.,139,2013*,14,76,1128,9,1,9,0
Rashad Greene,22,WR,Florida St.,139,2014*,14,99,1365,7,1,-2,0
Stefon Diggs,21,WR,Maryland,146,2012,11,54,848,6,20,114,0
Stefon Diggs,21,WR,Maryland,146,2013*,7,34,587,3,7,45,0
Stefon Diggs,21,WR,Maryland,146,2014*,10,62,792,5,5,28,0
Tony Lippett,23,WR,Michigan St.,156,2011*,14,4,44,0,1,-3,0
Tony Lippett,23,WR,Michigan St.,156,2012*,13,36,392,2,2,0,0
Tony Lippett,23,WR,Michigan St.,156,2013*,12,44,613,2,1,3,0
Tony Lippett,23,WR,Michigan St.,156,2014*,13,65,1198,11,2,51,1
JJ Nelson,23,WR,Ala-Birmingham,159,2011*,13,0,0,0,0,0,0
JJ Nelson,23,WR,Ala-Birmingham,159,2012,11,7,136,1,0,0,0
JJ Nelson,23,WR,Ala-Birmingham,159,2013*,6,11,154,3,0,0,0
JJ Nelson,23,WR,Ala-Birmingham,159,2014*,13,11,145,3,1,1,0
Kenny Bell,23,WR,Nebraska,162,2011*,13,32,461,3,3,100,1
Kenny Bell,23,WR,Nebraska,162,2012*,14,50,863,8,2,8,0
Kenny Bell,23,WR,Nebraska,162,2013*,13,52,577,4,1,1,0
Kenny Bell,23,WR,Nebraska,162,2014*,13,47,788,6,0,0,0
Keith Mumphery,23,WR,Michigan St.,175,2011*,14,2,39,0,0,0,0
Keith Mumphery,23,WR,Michigan St.,175,2012*,13,42,515,1,6,38,0
Keith Mumphery,23,WR,Michigan St.,175,2013*,12,18,299,3,2,2,0
Keith Mumphery,23,WR,Michigan St.,175,2014*,13,26,495,3,6,85,1
Kaelin Clay,23,WR,Utah,184,2014*,13,43,523,4,4,4,0
Geremy Davis,23,WR,Connecticut,186,2011,12,6,73,0,0,0,0
Geremy Davis,23,WR,Connecticut,186,2012,12,44,613,1,0,0,0
Geremy Davis,23,WR,Connecticut,186,2013,12,71,1085,3,0,0,0
Geremy Davis,23,WR,Connecticut,186,2014,11,44,521,3,0,0,0
Evan Spencer,22,WR,Ohio St.,187,2011*,10,3,78,1,0,0,0
Evan Spencer,22,WR,Ohio St.,187,2012,11,12,136,0,0,0,0
Evan Spencer,22,WR,Ohio St.,187,2013*,10,22,216,3,0,0,0
Evan Spencer,22,WR,Ohio St.,187,2014*,15,15,149,3,1,9,0
Darren Waller,22,WR,Georgia Tech,204,2012*,14,8,162,0,0,0,0
Darren Waller,22,WR,Georgia Tech,204,2013*,9,17,367,3,0,0,0
Darren Waller,22,WR,Georgia Tech,204,2014*,12,26,442,6,0,0,0
Neal Sterling,23,WR,Monmouth,220,2011,12,6,43,0,0,0,0
Neal Sterling,23,WR,Monmouth,220,2012,12,23,235,4,0,0,0
Neal Sterling,23,WR,Monmouth,220,2013,11,28,302,2,0,0,0
Neal Sterling,23,WR,Monmouth,220,2014,12,39,399,3,0,0,0
Da'Ron Brown,23,WR,Northern Illinois,233,2011*,14,24,322,2,1,3,0
Da'Ron Brown,23,WR,Northern Illinois,233,2012*,14,17,156,2,4,4,1
Da'Ron Brown,23,WR,Northern Illinois,233,2013*,12,46,752,9,7,45,0
Da'Ron Brown,23,WR,Northern Illinois,233,2014*,14,0,0,0,0,0,0
Dezmin Lewis,22,WR,Central Arkansas,234,2011*,14,24,322,2,1,3,0
Dezmin Lewis,22,WR,Central Arkansas,234,2012*,14,17,156,2,4,4,1
Dezmin Lewis,22,WR,Central Arkansas,234,2013*,12,46,752,9,7,45,0
Dezmin Lewis,22,WR,Central Arkansas,234,2014*,14,0,0,0,0,0,0
Mario Alford,23,WR,West Virginia,238,2013,9,27,552,2,5,47,0
Mario Alford,23,WR,West Virginia,238,2014*,13,65,945,11,2,14,0
Tre McBride,22,WR,William & Mary,245,2013,9,27,552,2,5,47,0
Tre McBride,22,WR,William & Mary,245,2014*,13,65,945,11,2,14,0
Corey Coleman,22,WR,Baylor,15,2013*,12,35,527,2,0,0,0
Corey Coleman,22,WR,Baylor,15,2014*,10,64,1119,11,11,53,1
Corey Coleman,22,WR,Baylor,15,2015*,12,74,1363,20,22,111,0
Will Fuller,22,WR,Notre Dame,21,2013*,6,6,160,1,2,8,0
Will Fuller,22,WR,Notre Dame,21,2014*,13,76,1094,15,0,0,0
Will Fuller,22,WR,Notre Dame,21,2015*,13,62,1258,14,0,0,0
Josh Doctson,23,WR,TCU,22,2011*,12,35,393,5,0,0,0
Josh Doctson,23,WR,TCU,22,2013,10,36,440,4,0,0,0
Josh Doctson,23,WR,TCU,22,2014*,13,65,1018,11,0,0,0
Josh Doctson,23,WR,TCU,22,2015*,11,79,1327,14,1,6,0
Laquon Treadwell,21,WR,Mississippi,23,2013*,13,72,608,5,3,2,0
Laquon Treadwell,21,WR,Mississippi,23,2014*,9,48,632,5,2,-7,0
Laquon Treadwell,21,WR,Mississippi,23,2015*,13,82,1153,11,1,-5,0
Sterling Shepard,23,WR,Oklahoma,40,2012*,13,45,621,3,2,19,0
Sterling Shepard,23,WR,Oklahoma,40,2013*,12,51,603,7,6,44,1
Sterling Shepard,23,WR,Oklahoma,40,2014*,12,51,970,5,8,41,0
Sterling Shepard,23,WR,Oklahoma,40,2015*,13,86,1288,11,1,5,0
Michael Thomas,23,WR,Ohio St.,47,2012,11,3,22,0,0,0,0
Michael Thomas,23,WR,Ohio St.,47,2014*,15,54,799,9,0,0,0
Michael Thomas,23,WR,Ohio St.,47,2015*,13,56,781,9,0,0,0
Tyler Boyd,21,WR,Pittsburgh,55,2013*,13,85,1174,7,11,108,1
Tyler Boyd,21,WR,Pittsburgh,55,2014*,13,78,1261,8,12,63,0
Tyler Boyd,21,WR,Pittsburgh,55,2015*,12,91,926,6,40,349,0
Leonte Carroo,22,WR,Rutgers,86,2012*,11,0,0,0,0,0,0
Leonte Carroo,22,WR,Rutgers,86,2013*,9,28,478,9,0,0,0
Leonte Carroo,22,WR,Rutgers,86,2014*,13,55,1086,10,0,0,0
Leonte Carroo,22,WR,Rutgers,86,2015,8,39,809,10,0,0,0
Chris Moore,23,WR,Cincinnati,107,2012*,12,4,113,2,0,0,0
