name,age,position,nfl_games,nfl_recs,nfl_recYDS,nfl_recTDS
Trent Taylor,23,WR,15.0,43.0,430.0,2.0
Robert Davis,22,WR,1.0,0.0,0.0,0.0
Stacy Coley,23,WR,3.0,0.0,0.0,0.0
David Moore,22,WR,1.0,0.0,0.0,0.0
Isaiah Ford,21,WR,1.0,0.0,0.0,0.0
Noah Brown,21,WR,13.0,4.0,33.0,0.0
Malachi Dupre,21,WR,,,,
D.J. Moore,21,WR,16.0,55.0,788.0,2.0
Calvin Ridley,23,WR,16.0,64.0,821.0,10.0
Courtland Sutton,22,WR,16.0,42.0,704.0,4.0
Dante Pettis,22,WR,12.0,27.0,467.0,5.0
Christian Kirk,21,WR,12.0,43.0,590.0,3.0
Anthony Miller,23,WR,15.0,33.0,423.0,7.0
James Washington,22,WR,14.0,16.0,217.0,1.0
DJ Chark,21,WR,11.0,14.0,174.0,0.0
Michael Gallup,22,WR,16.0,33.0,507.0,2.0
Tre'Quan Smith,22,WR,15.0,28.0,427.0,5.0
Keke Coutee,21,WR,6.0,28.0,287.0,1.0
Antonio Callaway,21,WR,16.0,43.0,586.0,5.0
DaeSean Hamilton,23,WR,14.0,30.0,243.0,2.0
Jaleel Scott,23,WR,3.0,1.0,6.0,0.0
J'Mon Moore,23,WR,12.0,2.0,15.0,0.0
Justin Watson,22,WR,12.0,1.0,5.0,0.0
Daurice Fountain,22,WR,1.0,0.0,0.0,0.0
Jordan Lasley,21,WR,,,,
Marquez Valdes-Scantling,23,WR,16.0,38.0,581.0,2.0
Damion Ratley,23,WR,13.0,13.0,144.0,0.0
Deon Cain,22,WR,13.0,9.0,124.0,0.0
Ray-Ray McCloud,21,WR,10.0,5.0,36.0,0.0
Dylan Cantrell,24,WR,,,,
Russell Gage,22,WR,15.0,6.0,63.0,0.0
Tremon Smith,22,WR,,,,
Equanimeous St. Brown,21,WR,12.0,21.0,328.0,0.0
Cedrick Wilson Jr.,22,WR,6.0,5.0,46.0,0.0
Braxton Berrios,22,WR,16.0,6.0,115.0,0.0
Javon Wims,23,WR,4.0,4.0,32.0,0.0
Marcell Ateman,23,WR,7.0,15.0,154.0,1.0
Richie James,23,WR,13.0,9.0,130.0,1.0
Auden Tate,21,WR,7.0,4.0,35.0,0.0
Austin Proehl,22,WR,,,,
Trey Quinn,22,WR,3.0,9.0,75.0,1.0
Marquise Brown,22,WR,14.0,46.0,584.0,7.0
N'Keal Harry,21,WR,7.0,12.0,105.0,2.0
Deebo Samuel,23,WR,15.0,57.0,802.0,3.0
A.J. Brown,22,WR,16.0,52.0,1051.0,8.0
Mecole Hardman,21,WR,16.0,26.0,538.0,6.0
JJ Arcega-Whiteside,22,WR,16.0,10.0,169.0,1.0
Parris Campbell,22,WR,7.0,18.0,127.0,1.0
Andy Isabella,22,WR,15.0,9.0,189.0,1.0
D.K. Metcalf,21,WR,16.0,58.0,900.0,7.0
Diontae Johnson,23,WR,16.0,59.0,680.0,5.0
Jalen Hurd,23,WR,,,,
Terry McLaurin,23,WR,14.0,58.0,919.0,7.0
Miles Boykin,22,WR,16.0,13.0,198.0,3.0
Hakeem Butler,23,WR,2.0,0.0,0.0,0.0
Gary Jennings Jr,22,WR,,,,
Riley Ridley,23,WR,5.0,6.0,69.0,0.0
Hunter Renfrow,23,WR,13.0,49.0,605.0,4.0
Darius Slayton,22,WR,14.0,48.0,740.0,8.0
KeeSean Johnson,22,WR,10.0,21.0,187.0,1.0
