name,age,position,school,draft_pick,season,games,rushATT,rushYDS,rushTDS,recs,recYDS,recTDS,rushingYDS,rushingTDS
Kenneth Dixon,22,RB,Louisiana Tech,134.0,2012,12.0,200.0,1194.0,27.0,10.0,35.0,1.0,,
Kenneth Dixon,22,RB,Louisiana Tech,134.0,2013,10.0,151.0,917.0,4.0,14.0,85.0,1.0,,
Kenneth Dixon,22,RB,Louisiana Tech,134.0,2014*,14.0,253.0,1299.0,22.0,30.0,385.0,6.0,,
Kenneth Dixon,22,RB,Louisiana Tech,134.0,2015*,11.0,197.0,1070.0,19.0,34.0,467.0,7.0,,
Kenneth Dixon,22,RB,,,,12.0,,,,30.0,162.0,1.0,382.0,2.0
Devontae Booker,24,RB,Utah,136.0,2014*,13.0,292.0,1512.0,10.0,43.0,306.0,2.0,,
Devontae Booker,24,RB,Utah,136.0,2015*,10.0,268.0,1261.0,11.0,37.0,318.0,0.0,,
Devontae Booker,24,RB,,,,16.0,,,,31.0,265.0,1.0,612.0,4.0
DeAndre Washington,23,RB,Texas Tech,143.0,2011,12.0,77.0,366.0,3.0,19.0,109.0,0.0,,
DeAndre Washington,23,RB,Texas Tech,143.0,2013*,12.0,107.0,450.0,4.0,34.0,269.0,0.0,,
DeAndre Washington,23,RB,Texas Tech,143.0,2014,12.0,188.0,1103.0,2.0,30.0,328.0,2.0,,
DeAndre Washington,23,RB,Texas Tech,143.0,2015*,13.0,233.0,1492.0,14.0,41.0,385.0,2.0,,
DeAndre Washington,23,RB,,,,14.0,,,,17.0,115.0,0.0,467.0,2.0
Paul Perkins,21,RB,UCLA,149.0,2013*,13.0,134.0,573.0,6.0,24.0,296.0,0.0,,
Paul Perkins,21,RB,UCLA,149.0,2014*,13.0,251.0,1575.0,9.0,26.0,201.0,2.0,,
Paul Perkins,21,RB,UCLA,149.0,2015*,13.0,237.0,1343.0,14.0,30.0,242.0,1.0,,
Paul Perkins,21,RB,,,,14.0,,,,15.0,162.0,0.0,456.0,0.0
Jordan Howard,21,RB,Indiana,150.0,2013,11.0,145.0,881.0,2.0,4.0,83.0,1.0,,
Jordan Howard,21,RB,Indiana,150.0,2014,12.0,306.0,1587.0,13.0,9.0,72.0,1.0,,
Jordan Howard,21,RB,Indiana,150.0,2015*,9.0,196.0,1213.0,9.0,11.0,106.0,1.0,,
Jordan Howard,21,RB,,,,15.0,,,,29.0,298.0,1.0,1313.0,6.0
Wendell Smallwood,22,RB,West Virginia,153.0,2013,12.0,39.0,221.0,1.0,11.0,132.0,0.0,,
Wendell Smallwood,22,RB,West Virginia,153.0,2014*,13.0,148.0,722.0,2.0,31.0,326.0,0.0,,
Wendell Smallwood,22,RB,West Virginia,153.0,2015*,13.0,238.0,1519.0,9.0,26.0,160.0,0.0,,
Wendell Smallwood,22,RB,,,,13.0,,,,6.0,55.0,0.0,312.0,1.0
Jonathan Williams,22,RB,Arkansas,156.0,2012,11.0,45.0,231.0,0.0,8.0,208.0,2.0,,
Jonathan Williams,22,RB,Arkansas,156.0,2013,12.0,150.0,900.0,4.0,7.0,72.0,2.0,,
Jonathan Williams,22,RB,Arkansas,156.0,2014*,13.0,211.0,1190.0,12.0,11.0,65.0,2.0,,
Jonathan Williams,22,RB,Arkansas,156.0,2015*,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Jonathan Williams,22,RB,,,,11.0,,,,1.0,0.0,0.0,94.0,1.0
Alex Collins,22,RB,Arkansas,171.0,2013,12.0,190.0,1026.0,4.0,11.0,63.0,0.0,,
Alex Collins,22,RB,Arkansas,171.0,2014*,13.0,204.0,1100.0,12.0,3.0,9.0,0.0,,
Alex Collins,22,RB,Arkansas,171.0,2015*,13.0,271.0,1577.0,20.0,13.0,95.0,0.0,,
Alex Collins,22,RB,,,,11.0,,,,11.0,84.0,0.0,125.0,1.0
Keenan Reynolds,22,RB,Navy,182.0,2012*,13.0,162.0,649.0,10.0,0.0,0.0,0.0,,
Keenan Reynolds,22,RB,Navy,182.0,2013*,13.0,300.0,1346.0,31.0,0.0,0.0,0.0,,
Keenan Reynolds,22,RB,Navy,182.0,2014*,11.0,250.0,1191.0,23.0,0.0,0.0,0.0,,
Keenan Reynolds,22,RB,Navy,182.0,2015*,13.0,265.0,1373.0,24.0,1.0,47.0,0.0,,
Keenan Reynolds,22,RB,,,,,,,,,,,,
Kelvin Taylor,22,RB,Florida,211.0,2013,9.0,111.0,508.0,4.0,5.0,37.0,0.0,,
Kelvin Taylor,22,RB,Florida,211.0,2014*,12.0,116.0,565.0,6.0,2.0,-8.0,0.0,,
Kelvin Taylor,22,RB,Florida,211.0,2015*,14.0,259.0,1035.0,13.0,17.0,150.0,0.0,,
Kelvin Taylor,22,RB,,,,,,,,,,,,
Darius Jackson,22,RB,Eastern Michigan,216.0,2012,12.0,3.0,12.0,0.0,0.0,0.0,0.0,,
Darius Jackson,22,RB,Eastern Michigan,216.0,2013,7.0,49.0,201.0,2.0,3.0,26.0,0.0,,
Darius Jackson,22,RB,Eastern Michigan,216.0,2014,12.0,61.0,295.0,1.0,20.0,148.0,2.0,,
Darius Jackson,22,RB,Eastern Michigan,216.0,2015,12.0,208.0,1078.0,14.0,21.0,201.0,2.0,,
Darius Jackson,22,RB,,,,4.0,,,,0.0,0.0,0.0,16.0,0.0
Dwayne Washington,22,RB,Washington,236.0,2013*,11.0,47.0,332.0,4.0,1.0,5.0,1.0,,
Dwayne Washington,22,RB,Washington,236.0,2014*,13.0,132.0,697.0,9.0,15.0,91.0,0.0,,
Dwayne Washington,22,RB,Washington,236.0,2015*,8.0,47.0,282.0,4.0,25.0,315.0,3.0,,
Dwayne Washington,22,RB,,,,12.0,,,,10.0,62.0,0.0,265.0,1.0
Daniel Lasco,23,RB,California,237.0,2012,12.0,6.0,109.0,1.0,0.0,0.0,0.0,,
Daniel Lasco,23,RB,California,237.0,2013,8.0,67.0,317.0,2.0,11.0,78.0,0.0,,
Daniel Lasco,23,RB,California,237.0,2014,12.0,210.0,1115.0,12.0,33.0,356.0,2.0,,
Daniel Lasco,23,RB,California,237.0,2015*,10.0,65.0,331.0,3.0,4.0,24.0,0.0,,
Daniel Lasco,23,RB,,,,7.0,,,,2.0,11.0,0.0,32.0,0.0
Keith Marshall,22,RB,Georgia,242.0,2012*,14.0,117.0,759.0,8.0,11.0,91.0,1.0,,
